rank,player,pos,team_26,age,bye,ecr_ovr,ecr_pos,g_25,ppgA_25,ppgB_25,top6A_25,floorA_25,tgt_25,tgt_share_25,car_25,ru100_25,re100_25,pass_td_25,p300_25,ru_yds_25,snap_pct_25,espn_adp,note,pos_rank
1,Jahmyr Gibbs,RB,DET,24.5,6.0,2.48,1.19,17.0,22.494117647058825,22.17058823529412,38.51666666666667,11.6,94.0,0.1709090909090909,243.0,3.0,1.0,0.0,0.0,1223.0,0.67,1.8,"22.5 ppg, 94 tgt, 243 car, 17 games; second-highest ceiling weeks of any RB (best-6 avg 38.5, behind only Taylor). Montgomery traded, Pacheco on IR: first true workhorse season. Age 24.",1
2,Bijan Robinson,RB,ATL,24.6,11.0,4.1,1.83,17.0,22.87058823529412,22.63529411764706,34.61666666666667,14.7,103.0,0.1988416988416988,287.0,5.0,2.0,0.0,0.0,1478.0,0.7817647058823529,1.5,"22.9 ppg, 103 tgt (2nd among RBs), 287 car, five 100-yd rush games. New HC Stefanski/Tua; hold-in resolved with record deal.",2
3,Ja'Marr Chase,WR,CIN,26.5,6.0,1.55,1.18,16.0,20.25625,20.475,30.48333333333333,9.875,185.0,0.3228621291448517,3.0,0.0,7.0,0.0,0.0,14.0,0.94375,3.5,"20.3 ppg in 2025 with Burrow hurt most of the year; 24.5 ppg in 2024. 185 tgt, 32% share. Knee 'tweak' Aug 25, limited but expected Wk 1.",1
4,Puka Nacua,WR,LA,25.3,11.0,3.19,2.11,16.0,24.40625,24.3125,35.36666666666667,16.450000000000003,166.0,0.3029197080291971,10.0,0.0,6.0,0.0,0.0,105.0,0.6825,5.5,"24.4 ppg (WR1), 166 tgt in 16 g, six 100-yd games. Open NFL conduct review, no ruling as of Sep 1: suspension risk is real but early-season only.",2
5,Jonathan Taylor,RB,IND,27.6,13.0,11.93,4.56,17.0,22.488235294117647,22.01764705882353,38.68333333333333,12.8,55.0,0.1039697542533081,323.0,5.0,0.0,0.0,0.0,1585.0,0.8258823529411765,7.0,"22.5 ppg, 323 car, 18 TD (league high), five 100-yd games (+3 each in League A), highest ceiling weeks of any RB (best-6 38.7). Only 55 tgt. IND's Weeks 15-17 slate (@TEN, CIN, @CLE) is the softest RB playoff schedule on the board. Daniel Jones back from Achilles.",3
6,Jaxon Smith-Njigba,WR,SEA,24.6,11.0,4.67,3.21,17.0,21.964705882352945,22.229411764705883,29.75,19.8,163.0,0.3582417582417582,7.0,0.0,9.0,0.0,0.0,36.0,0.7741176470588236,6.5,"22.0 ppg, 36% target share (best in NFL), nine 100-yd games, floor 19.8 (highest of any WR). Same QB (Darnold); OC Kubiak left for LV, replaced by Brian Fleury (same Shanahan-tree scheme). Age 24.",3
7,Amon-Ra St. Brown,WR,DET,26.9,6.0,5.42,3.63,17.0,19.5,19.647058823529413,31.35,13.7,172.0,0.3127272727272727,3.0,0.0,5.0,0.0,0.0,9.0,0.8523529411764706,9.5,"19.5 ppg, 172 tgt, 31% share, 11 TD, 17 games four straight years. Floor 13.7 with five 100-yd games; new OC Petzing.",4
8,Christian McCaffrey,RB,SF,30.3,8.0,9.24,3.85,17.0,25.21176470588236,24.97647058823529,34.85,17.6,129.0,0.2476007677543186,311.0,4.0,0.0,0.0,0.0,1202.0,0.8311764705882353,4.5,"25.2 ppg (RB1 overall), 129 tgt, 311 car. Age 30.3 with 450 touches incl. playoffs; calf tightness in camp resolved, full participant. Age cliff is the only knock.",4
9,CeeDee Lamb,WR,DAL,27.4,14.0,9.0,5.66,13.0,16.146153846153847,16.376923076923077,21.433333333333334,11.5,117.0,0.2526997840172786,1.0,0.0,6.0,0.0,0.0,2.0,0.7285714285714285,16.0,"16.2 ppg in 13 g, 25% share with Pickens taking 23%. 17.9 ppg in 2024. Dak healthy; DAL allowed most points in NFL last year (shootouts).",5
10,Drake London,WR,ATL,25.1,11.0,12.91,7.9,12.0,17.45,17.65833333333333,27.36666666666667,7.625,112.0,0.3043478260869565,0.0,0.0,5.0,0.0,0.0,0.0,0.9066666666666666,20.5,"17.5 ppg in 12 g, 30% share, 9.3 tgt/g. Tua replaces Penix; Stefanski offense. Missed 5 games in 2025.",6
