player,pos,ecr,espn_adp
Bijan Robinson,RB,4.1,1.5
Jahmyr Gibbs,RB,2.5,1.8
Ja'Marr Chase,WR,1.6,3.5
Christian McCaffrey,RB,9.2,4.5
Puka Nacua,WR,3.2,5.5
Jaxon Smith-Njigba,WR,4.7,6.5
Jonathan Taylor,RB,11.9,7.0
De'Von Achane,RB,21.0,8.5
Amon-Ra St. Brown,WR,5.4,9.5
James Cook III,RB,16.0,10.5
Brock Bowers,TE,19.0,14.0
Justin Jefferson,WR,9.4,15.0
CeeDee Lamb,WR,9.0,16.0
Kenneth Walker III,RB,26.1,17.0
Trey McBride,TE,21.0,18.0
Saquon Barkley,RB,24.4,18.5
Derrick Henry,RB,37.7,19.0
Omarion Hampton,RB,25.6,19.5
Ashton Jeanty,RB,26.4,20.0
Drake London,WR,12.9,20.5
Rashee Rice,WR,24.7,22.0
Josh Allen,QB,25.8,24.0
Chase Brown,RB,17.9,24.5
Jeremiyah Love,RB,41.4,25.0
A.J. Brown,WR,14.2,25.5
Nico Collins,WR,16.0,28.0
Chris Olave,WR,18.0,29.0
Malik Nabers,WR,24.5,30.0
Breece Hall,RB,39.9,31.0
George Pickens,WR,20.4,31.5
Javonte Williams,RB,44.6,32.0
Kyren Williams,RB,41.5,34.0
Lamar Jackson,QB,32.1,38.0
Travis Etienne Jr.,RB,47.6,38.0
DeVonta Smith,WR,24.0,39.4
Garrett Wilson,WR,29.6,40.0
Zay Flowers,WR,30.3,42.0
Tetairoa McMillan,WR,35.6,43.0
Cam Skattebo,RB,57.4,44.0
Colston Loveland,TE,37.4,45.3
Davante Adams,WR,50.1,46.0
Jaylen Waddle,WR,34.8,46.5
Quinshon Judkins,RB,62.0,47.0
Drake Maye,QB,37.7,48.0
Ladd McConkey,WR,34.9,49.0
Bhayshul Tuten,RB,67.2,50.0
Bucky Irving,RB,58.7,51.0
D'Andre Swift,RB,54.7,52.0
Emeka Egbuka,WR,40.8,52.5
David Montgomery,RB,61.4,53.0
Tyler Warren,TE,53.1,54.0
Tee Higgins,WR,36.9,55.0
Terry McLaurin,WR,47.2,56.0
Joe Burrow,QB,45.8,58.0
Jalen Hurts,QB,56.5,60.0
Luther Burden III,WR,47.0,60.5
DJ Moore,WR,52.1,61.0
Jayden Daniels,QB,53.2,62.0
Mike Evans,WR,56.2,62.5
Josh Jacobs,RB,46.9,63.0
Chuba Hubbard,RB,98.9,65.0
DK Metcalf,WR,78.9,66.0
Rome Odunze,WR,57.5,66.5
Jadarian Price,RB,73.2,68.0
Jameson Williams,WR,54.7,70.0
Carnell Tate,WR,68.3,70.5
TreVeyon Henderson,RB,71.0,72.0
Marvin Harrison Jr.,WR,68.6,72.5
Kyle Pitts Sr.,TE,78.9,73.0
Brian Thomas Jr.,WR,80.0,74.0
Jaylen Warren,RB,77.3,74.5
Matthew Stafford,QB,104.3,76.0
Tucker Kraft,TE,80.5,76.5
Rhamondre Stevenson,RB,77.3,77.0
Sam LaPorta,TE,85.8,78.0
Parker Washington,WR,63.3,78.5
Christian Watson,WR,57.6,80.0
Patrick Mahomes II,QB,101.5,82.0
Tony Pollard,RB,85.0,82.5
Rico Dowdle,RB,88.8,84.0
Courtland Sutton,WR,83.3,84.5
Caleb Williams,QB,67.1,85.0
Harold Fannin Jr.,TE,73.4,85.5
Michael Pittman Jr.,WR,80.4,86.0
Jaxson Dart,QB,97.5,88.0
Travis Kelce,TE,98.5,88.5
Dak Prescott,QB,78.2,90.0
J.K. Dobbins,RB,100.5,90.5
Trevor Lawrence,QB,77.8,92.0
George Kittle,TE,98.9,92.5
Wan'Dale Robinson,WR,85.6,93.0
Stefon Diggs,WR,96.5,95.0
RJ Harvey,RB,97.5,95.5
MarShawn Lloyd,RB,179.0,96.0
Jakobi Meyers,WR,104.5,96.5
Josh Downs,WR,87.2,98.0
Bo Nix,QB,99.3,99.0
Aaron Jones Sr.,RB,115.8,100.0
Quentin Johnston,WR,95.8,100.5
Jacory Croskey-Merritt,RB,113.7,101.0
Kenny Gainwell,RB,100.1,104.0
Brock Purdy,QB,96.5,105.0
Michael Wilson,WR,88.4,105.5
Jordan Mason,RB,115.7,106.0
Dalton Kincaid,TE,112.4,106.5
Blake Corum,RB,112.1,108.0
Alec Pierce,WR,100.3,108.5
Jordan Addison,WR,105.6,109.0
Jared Goff,QB,106.4,110.0
Jayden Reed,WR,104.2,110.5
Jonathon Brooks,RB,90.8,111.0
Dallas Goedert,TE,117.2,112.0
Justin Herbert,QB,71.6,114.0
Kyler Murray,QB,112.8,115.5
Jake Ferguson,TE,118.5,116.0
Kyle Monangai,RB,117.0,117.0
Makai Lemon,WR,109.7,118.0
KC Concepcion,WR,118.1,119.0
Xavier Worthy,WR,129.3,120.0
Tyler Allgeier,RB,138.7,124.0
Daniel Jones,QB,148.0,134.0
Chris Godwin Jr.,WR,76.5,146.8
