full_name,pos,g,exp,act,tgt,exp_pg,act_pg,diff_pg
A.J. Brown,WR,16,219.29,223.8,78.37,13.705625,13.9875,0.2818750000000012
AJ Barner,TE,20,139.4,166.2,53.69,6.970000000000001,8.309999999999999,1.339999999999998
Aaron Jones,RB,12,130.82999999999998,118.7,32.02,10.902499999999998,9.891666666666667,-1.0108333333333306
Aaron Rodgers,QB,17,241.81,232.92,0.87,14.224117647058824,13.701176470588235,-0.5229411764705887
Adam Prentice,RB,14,23.46,16.0,6.93,1.6757142857142857,1.1428571428571428,-0.5328571428571429
Adam Thielen,WR,15,59.410000000000004,44.1,24.39,3.960666666666667,2.94,-1.020666666666667
Adam Trautman,TE,12,40.47,45.5,18.64,3.3725,3.7916666666666665,0.41916666666666647
Adonai Mitchell,WR,16,116.14,87.9,39.48,7.25875,5.49375,-1.7649999999999997
Alec Ingold,RB,9,16.39,14.1,7.82,1.8211111111111111,1.5666666666666667,-0.2544444444444445
Alec Pierce,WR,15,169.65,183.3,45.03,11.31,12.22,0.9100000000000001
Allen Lazard,WR,9,30.18,23.0,9.7,3.3533333333333335,2.5555555555555554,-0.7977777777777781
Alvin Kamara,RB,11,121.2,100.7,29.84,11.018181818181818,9.154545454545454,-1.8636363636363633
Ameer Abdullah,RB,12,35.39,37.9,13.62,2.9491666666666667,3.158333333333333,0.2091666666666665
Amon-Ra St. Brown,WR,17,327.89,324.0,119.02,19.287647058823527,19.058823529411764,-0.22882352941176265
Andrei Iosivas,WR,15,102.95,89.9,36.949999999999996,6.863333333333333,5.993333333333334,-0.8699999999999992
Arian Smith,WR,12,25.27,13.5,8.780000000000001,2.1058333333333334,1.125,-0.9808333333333334
Ashton Jeanty,RB,17,248.96,245.1,55.74,14.644705882352941,14.41764705882353,-0.2270588235294113
Austin Hooper,TE,16,64.66,64.7,21.73,4.04125,4.04375,0.002500000000000391
Baker Mayfield,QB,17,287.77,277.92,0.0,16.927647058823528,16.348235294117647,-0.5794117647058812
Bam Knight,RB,10,110.55,92.9,23.04,11.055,9.290000000000001,-1.7649999999999988
Ben Sinnott,TE,8,19.93,28.4,8.690000000000001,2.49125,3.55,1.0587499999999999
Bhayshul Tuten,RB,16,84.36,93.7,10.98,5.2725,5.85625,0.5837500000000002
Bijan Robinson,RB,17,327.59,370.8,77.84,19.27,21.811764705882354,2.541764705882354
Blake Corum,RB,20,142.86,142.8,14.45,7.143000000000001,7.140000000000001,-0.0030000000000001137
Bo Melton,DB,8,23.69,24.200000000000003,6.51,2.96125,3.0250000000000004,0.0637500000000002
Bo Nix,QB,18,348.35,330.9,0.77,19.352777777777778,18.383333333333333,-0.969444444444445
Brandin Cooks,WR,15,75.97,64.7,25.92,5.064666666666667,4.3133333333333335,-0.7513333333333332
Brashard Smith,RB,15,84.53,63.3,28.580000000000002,5.6353333333333335,4.22,-1.4153333333333338
Breece Hall,RB,16,196.31,207.66,35.910000000000004,12.269375,12.97875,0.7093749999999996
Brenton Strange,TE,13,115.44999999999999,120.9,46.16,8.88076923076923,9.3,0.4192307692307704
Brevyn Spann-Ford,TE,10,24.38,24.0,8.97,2.4379999999999997,2.4,-0.03799999999999981
Brian Robinson,RB,17,73.95,64.2,10.290000000000001,4.3500000000000005,3.7764705882352945,-0.5735294117647061
Brian Thomas Jr.,WR,15,176.51,148.9,53.94,11.767333333333333,9.926666666666668,-1.8406666666666656
Brock Bowers,TE,12,149.55,176.2,56.53,12.4625,14.683333333333332,2.2208333333333314
Brock Purdy,QB,11,214.12,204.76,0.0,19.465454545454545,18.614545454545453,-0.8509090909090915
Bryce Young,QB,17,245.26,242.96,0.0,14.42705882352941,14.291764705882354,-0.13529411764705657
Brycen Tremayne,WR,9,28.740000000000002,30.0,11.9,3.1933333333333334,3.3333333333333335,0.14000000000000012
Bucky Irving,RB,10,139.15,138.5,27.65,13.915000000000001,13.85,-0.06500000000000128
C.J. Stroud,QB,16,241.95,226.12,0.0,15.121875,14.1325,-0.989374999999999
Cade Otton,TE,15,128.7,122.19999999999999,60.26,8.58,8.146666666666667,-0.43333333333333357
Cade Stover,TE,8,34.69,25.400000000000002,16.43,4.33625,3.1750000000000003,-1.1612499999999994
Caleb Williams,QB,19,380.03000000000003,358.44,1.24,20.001578947368422,18.865263157894738,-1.1363157894736844
Calvin Austin III,WR,15,96.33,90.0,36.81,6.422,6.0,-0.4219999999999997
Cam Skattebo,RB,8,115.2,127.7,25.09,14.4,15.9625,1.5625
Cam Ward,QB,17,205.05,200.66,0.0,12.061764705882354,11.803529411764705,-0.25823529411764845
Cedric Tillman,WR,12,62.67,60.0,22.72,5.2225,5.0,-0.22250000000000014
CeeDee Lamb,WR,13,223.32999999999998,200.9,74.81,17.179230769230767,15.453846153846154,-1.7253846153846126
Charlie Kolar,TE,11,29.42,36.2,10.870000000000001,2.674545454545455,3.290909090909091,0.6163636363636362
Chase Brown,RB,17,275.81,280.3,67.65,16.224117647058822,16.488235294117647,0.2641176470588249
Chig Okonkwo,TE,17,113.43,124.0,56.78,6.672352941176471,7.294117647058823,0.6217647058823523
Chimere Dike,WR,17,129.57,116.1,47.85,7.621764705882352,6.829411764705882,-0.7923529411764703
Chris Brooks,RB,15,40.7,36.4,13.8,2.7133333333333334,2.4266666666666667,-0.2866666666666666
