rank,player,pos,proj_ppg,wk_sd,exp_missed,avail_pts
1,Jahmyr Gibbs,RB,23.7,15.3,3.0,332.0
2,Bijan Robinson,RB,23.6,11.2,3.0,331.0
3,Ja'Marr Chase,WR,23.1,10.7,3.4,315.0
4,Puka Nacua,WR,21.7,11.8,3.4,296.0
5,Jonathan Taylor,RB,21.6,14.2,4.6,268.0
6,Jaxon Smith-Njigba,WR,19.7,7.9,3.6,265.0
7,Amon-Ra St. Brown,WR,19.5,11.4,3.6,262.0
8,Christian McCaffrey,RB,21.5,9.1,4.0,278.0
9,CeeDee Lamb,WR,17.8,6.6,4.3,226.0
10,Drake London,WR,17.5,12.1,4.3,221.0
11,A.J. Brown,WR,16.7,10.4,3.4,227.0
12,Trey McBride,TE,17.6,8.8,2.9,248.0
13,Justin Jefferson,WR,16.6,6.2,3.6,223.0
14,James Cook III,RB,19.6,11.0,4.6,242.0
15,Nico Collins,WR,16.6,6.8,3.4,226.0
16,George Pickens,WR,16.1,10.3,3.6,216.0
17,Chase Brown,RB,18.2,7.6,3.0,255.0
18,De'Von Achane,RB,19.2,8.0,4.5,240.0
19,Chris Olave,WR,15.7,8.4,3.4,214.0
20,Derrick Henry,RB,17.7,11.7,4.0,229.0
21,Brock Bowers,TE,16.4,10.5,4.6,204.0
22,Rashee Rice,WR,15.6,8.3,4.3,198.0
23,DeVonta Smith,WR,14.4,8.2,3.6,194.0
24,Saquon Barkley,RB,17.9,8.1,7.2,176.0
25,Ashton Jeanty,RB,15.4,9.5,3.0,216.0
26,Kenneth Walker III,RB,15.1,7.2,3.0,211.0
27,Garrett Wilson,WR,14.7,8.8,4.3,187.0
28,Zay Flowers,WR,14.4,7.9,3.6,193.0
29,Tetairoa McMillan,WR,13.4,7.4,3.6,180.0
30,Malik Nabers,WR,16.5,9.9,4.3,209.0
31,Josh Allen,QB,23.6,10.4,3.5,320.0
32,Emeka Egbuka,WR,13.0,8.9,3.6,175.0
33,Ladd McConkey,WR,13.5,7.2,3.4,185.0
34,Breece Hall,RB,15.1,8.6,4.5,189.0
35,Kyren Williams,RB,16.2,6.2,3.0,227.0
36,Javonte Williams,RB,14.5,6.6,4.5,182.0
37,Omarion Hampton,RB,15.3,8.7,5.7,174.0
38,Cam Skattebo,RB,14.1,8.6,5.7,159.0
39,Tee Higgins,WR,15.0,8.5,3.4,205.0
40,Colston Loveland,TE,12.6,8.7,4.6,156.0
41,Jeremiyah Love,RB,16.0,8.8,4.5,200.0
42,Jaylen Waddle,WR,12.9,7.0,3.4,176.0
43,Luther Burden III,WR,11.8,8.0,3.4,161.0
44,DJ Moore,WR,12.4,8.2,3.6,167.0
45,Drake Maye,QB,20.1,5.4,3.9,264.0
46,Travis Etienne Jr.,RB,14.3,7.2,4.6,177.0
47,Bucky Irving,RB,13.9,6.0,5.7,158.0
48,Jadarian Price,RB,12.5,6.8,4.5,156.0
49,Quinshon Judkins,RB,12.6,6.8,4.5,158.0
50,D'Andre Swift,RB,14.3,7.5,4.6,178.0
51,David Montgomery,RB,12.5,7.3,4.0,162.0
52,Tyler Warren,TE,12.8,4.9,2.9,181.0
53,Jameson Williams,WR,13.4,9.4,3.6,180.0
54,MarShawn Lloyd,RB,5.6,3.1,4.5,71.0
55,Terry McLaurin,WR,13.6,5.1,4.1,176.0
56,Davante Adams,WR,15.0,7.0,3.9,197.0
57,Lamar Jackson,QB,21.2,9.1,4.6,263.0
58,Joe Burrow,QB,20.4,8.6,4.6,253.0
59,Jalen Hurts,QB,20.0,7.6,3.5,271.0
60,Justin Herbert,QB,18.3,8.6,3.5,247.0
