full_name,cat,weeks,outs
A.J. Brown,hamstring,1,1
AJ Barner,calf,1,0
Aaron Jones,hamstring,1,0
Aaron Jones,hip,1,1
Aaron Jones,shoulder,1,0
Aaron Rodgers,hand,1,0
Aidan O'Connell,hand,3,3
Alec Pierce,concussion,2,2
Alex Bachman,ankle,1,0
Alex Bachman,hand,2,2
Allen Lazard,neck,1,0
Allen Lazard,other,1,1
Alvin Kamara,ankle,4,0
Alvin Kamara,knee,6,6
Amon-Ra St. Brown,ankle,1,0
Amon-Ra St. Brown,knee,2,0
Andrew Ogletree,neck,1,1
Andy Dalton,hand,1,0
Anthony Gould,foot,3,3
Anthony Gould,knee,2,2
Anthony Richardson,other,3,3
Antonio Gibson,knee,1,1
Ashton Dulin,ribs,1,1
Austin Hooper,concussion,1,1
Baker Mayfield,other,1,0
Baker Mayfield,shoulder,1,0
Bam Knight,ankle,1,0
Bam Knight,knee,1,0
Beaux Collins,concussion,1,1
Beaux Collins,neck,3,3
Ben Sinnott,ankle,1,1
Ben Yurosek,knee,2,1
Bhayshul Tuten,hand,2,1
Blake Corum,ankle,1,0
Brandin Cooks,other,1,1
Braxton Berrios,hamstring,2,2
Breece Hall,knee,2,1
Brenden Bates,ankle,2,2
Brenton Strange,hip,2,1
Brian Thomas Jr.,ankle,3,2
Brock Bowers,knee,4,1
Brock Purdy,shoulder,2,1
Brock Purdy,toe,6,4
Brock Wright,ankle,1,0
Brock Wright,neck,2,2
Bryce Oliver,knee,11,8
Bryce Young,ankle,1,0
Brycen Tremayne,hip,1,0
Bucky Irving,foot,5,5
Bucky Irving,shoulder,3,2
C.J. Stroud,concussion,3,3
Cade Otton,knee,1,0
Cade Stover,foot,1,0
Calvin Austin III,hamstring,1,1
Calvin Austin III,shoulder,1,1
Calvin Ridley,hamstring,4,3
Calvin Ridley,knee,1,0
Cam Grandy,ribs,2,1
Cameron Latu,neck,1,0
Casey Washington,back,1,1
Casey Washington,concussion,2,2
Cedric Tillman,concussion,1,0
Cedric Tillman,hamstring,1,0
Cedrick Wilson Jr.,knee,1,1
CeeDee Lamb,ankle,3,3
