player_id,name,pos,games,ppr,team,ppg,games_next,ppg_next,birth,age,missed_prior,missed_next,season,age_band,prior_band
00-0033280,Christian McCaffrey,RB,16,391.3,SF,24.45625,4.0,11.95,1996-06-07,28.26009582477755,1,13.0,2024,27-28,1-3
00-0038120,Breece Hall,RB,17,290.5,NYJ,17.08823529411765,16.0,15.05625,2001-05-31,23.279945242984258,0,1.0,2024,<27,0
00-0036973,Travis Etienne,RB,17,282.4,JAX,16.61176470588235,15.0,8.68,1999-01-26,25.623545516769337,0,2.0,2024,<27,0
00-0037256,Rachaad White,RB,17,267.9,TB,15.758823529411764,15.0,13.306666666666667,1999-01-12,25.661875427789184,0,2.0,2024,<27,0
00-0031687,Raheem Mostert,RB,15,267.7,MIA,17.846666666666668,13.0,5.453846153846154,1992-04-09,32.421629021218344,2,4.0,2024,29+,1-3
00-0033897,Joe Mixon,RB,17,267.0,CIN,15.705882352941176,14.0,17.178571428571427,1996-07-24,28.13141683778234,0,3.0,2024,27-28,0
00-0037840,Kyren Williams,RB,12,255.0,LA,21.25,16.0,17.00625,2000-08-26,24.041067761806982,5,1.0,2024,<27,4+
00-0032764,Derrick Henry,RB,17,246.66,TEN,14.509411764705883,17.0,19.788235294117644,1994-01-04,30.68309377138946,0,0.0,2024,29+,0
00-0038542,Bijan Robinson,RB,17,246.3,ATL,14.488235294117647,17.0,20.099999999999998,2002-01-30,22.611909650924023,0,0.0,2024,<27,0
00-0039139,Jahmyr Gibbs,RB,15,242.1,DET,16.14,17.0,21.34705882352941,2002-03-20,22.477754962354553,2,0.0,2024,<27,1-3
00-0033906,Alvin Kamara,RB,13,233.0,NO,17.923076923076923,14.0,18.95,1995-07-25,29.130732375085557,4,3.0,2024,29+,4+
00-0037248,James Cook,RB,17,232.7,BUF,13.688235294117646,16.0,16.66875,1999-09-25,24.960985626283367,0,1.0,2024,<27,0
00-0034844,Saquon Barkley,RB,14,223.2,NYG,15.942857142857141,16.0,22.20625,1997-02-09,27.583846680355922,3,1.0,2024,27-28,1-3
00-0035261,Tony Pollard,RB,17,222.6,DAL,13.094117647058823,16.0,12.54375,1997-04-30,27.364818617385353,0,1.0,2024,27-28,0
00-0037197,Isiah Pacheco,RB,14,213.9,KC,15.278571428571428,7.0,8.12857142857143,1999-03-02,25.527720739219713,3,10.0,2024,<27,1-3
00-0037267,Jerome Ford,RB,17,211.20000000000002,CLE,12.423529411764706,14.0,9.571428571428571,1999-09-12,24.996577686516083,0,3.0,2024,<27,0
00-0035685,David Montgomery,RB,14,207.2,DET,14.799999999999999,14.0,15.837142857142856,1997-06-07,27.260780287474333,3,3.0,2024,27-28,1-3
00-0033553,James Conner,RB,13,201.5,ARI,15.5,16.0,15.8625,1995-05-05,29.352498288843258,4,1.0,2024,29+,4+
00-0038134,Kenneth Walker III,RB,15,199.4,SEA,13.293333333333333,11.0,16.472727272727273,2000-10-20,23.890485968514717,2,6.0,2024,<27,1-3
00-0036275,D'Andre Swift,RB,16,199.3,PHI,12.45625,17.0,12.617647058823529,1999-01-14,25.65639972621492,1,0.0,2024,<27,1-3
00-0037746,Brian Robinson,RB,15,198.1,WAS,13.206666666666667,14.0,11.414285714285713,1999-03-22,25.472963723477072,2,3.0,2024,<27,1-3
00-0037228,Jaylen Warren,RB,17,196.4,PIT,11.552941176470588,15.0,8.273333333333333,1998-11-01,25.859000684462696,0,2.0,2024,<27,0
00-0036893,Najee Harris,RB,17,195.5,PIT,11.5,17.0,12.035294117647059,1998-03-09,26.507871321013006,0,0.0,2024,<27,0
00-0039040,De'Von Achane,RB,11,190.7,MIA,17.336363636363636,17.0,17.641176470588235,2001-10-13,22.910335386721425,6,0.0,2024,<27,4+
00-0034184,Gus Edwards,RB,17,187.0,BAL,11.0,11.0,5.827272727272727,1995-04-13,29.412731006160165,0,6.0,2024,29+,0
00-0033699,Austin Ekeler,RB,14,185.4,LAC,13.242857142857144,12.0,11.025,1995-05-17,29.319644079397673,3,5.0,2024,29+,1-3
00-0036555,Chuba Hubbard,RB,17,182.5,CAR,10.735294117647058,15.0,16.106666666666666,1999-06-11,25.251197809719372,0,2.0,2024,<27,0
00-0035700,Josh Jacobs,RB,13,181.1,LV,13.930769230769231,17.0,17.241176470588236,1998-02-11,26.579055441478438,4,0.0,2024,<27,4+
00-0036997,Javonte Williams,RB,16,179.2,DEN,11.2,17.0,9.288235294117648,2000-04-25,24.37782340862423,1,0.0,2024,<27,1-3
00-0033045,Ezekiel Elliott,RB,17,174.5,NE,10.264705882352942,15.0,3.8333333333333335,1995-07-22,29.138945927446954,0,2.0,2024,29+,0
00-0036251,Zack Moss,RB,14,169.6,IND,12.114285714285714,8.0,10.2375,1997-12-15,26.7378507871321,3,9.0,2024,<27,1-3
00-0035250,Devin Singletary,RB,17,167.34,HOU,9.843529411764706,15.0,6.4399999999999995,1997-09-03,27.019849418206707,0,2.0,2024,27-28,0
00-0036223,Jonathan Taylor,RB,10,156.4,IND,15.64,14.0,17.478571428571428,1999-01-19,25.642710472279262,7,3.0,2024,<27,4+
00-0039032,Tyjae Spears,RB,17,153.8,TEN,9.047058823529412,12.0,9.466666666666667,2001-06-15,23.238877481177276,0,5.0,2024,<27,0
