pos,cat,season,weeks_listed,out_weeks,missed_this,played_next,missed_next,same_cat_next,same_cat_out_next,dppg_next
TE,shoulder,2012,1,0,0,True,0.0,False,False,-1.0374999999999996
QB,hand,2012,1,0,0,True,0.0,False,False,8.188750000000002
WR,hand,2012,1,0,2,False,10.0,False,False,
WR,hip,2012,1,0,2,False,10.0,False,False,
WR,knee,2012,1,0,2,False,10.0,True,False,
WR,quad,2012,1,0,2,False,10.0,True,False,
WR,shoulder,2012,1,0,2,False,10.0,False,False,
QB,concussion,2012,6,5,6,False,9.0,False,False,
WR,foot,2012,1,0,0,True,1.0,False,False,-3.0791666666666657
WR,hand,2012,1,0,0,True,1.0,True,False,-3.0791666666666657
WR,knee,2012,2,0,0,True,1.0,True,True,-3.0791666666666657
WR,other,2012,2,0,0,True,1.0,False,False,-3.0791666666666657
WR,other,2012,1,0,0,True,0.0,False,False,-2.874999999999999
QB,ankle,2012,1,0,0,True,0.0,False,False,0.2562500000000014
QB,hand,2012,2,0,1,True,0.0,True,False,-0.9092500000000001
QB,ribs,2012,1,1,1,True,0.0,False,False,-0.9092500000000001
TE,ribs,2012,2,0,1,True,0.0,False,False,2.046666666666665
WR,groin,2012,2,0,0,False,16.0,False,False,
WR,illness,2012,1,0,0,False,16.0,False,False,
WR,shoulder,2012,1,0,0,False,16.0,False,False,
WR,groin,2012,4,0,0,True,0.0,False,False,-1.0062500000000014
WR,ribs,2012,1,0,0,True,0.0,False,False,-1.0062500000000014
WR,knee,2012,1,0,1,True,0.0,False,False,3.642083333333334
WR,shoulder,2012,1,0,1,True,0.0,False,False,3.642083333333334
WR,knee,2012,9,0,0,False,16.0,False,False,
WR,quad,2012,1,0,0,False,16.0,False,False,
TE,core,2012,3,0,0,True,0.0,False,False,-1.6125000000000007
TE,illness,2012,1,0,0,True,5.0,True,False,0.4164772727272741
RB,knee,2012,1,0,6,True,5.0,True,False,-9.574545454545456
RB,ribs,2012,1,0,6,True,5.0,False,False,-9.574545454545456
WR,ankle,2012,11,0,0,True,3.0,True,False,-2.340865384615384
RB,foot,2012,5,0,0,True,4.0,False,False,-0.5458333333333325
RB,groin,2012,3,0,0,True,4.0,False,False,-0.5458333333333325
RB,illness,2012,1,0,0,True,4.0,False,False,-0.5458333333333325
WR,foot,2012,1,0,0,False,16.0,False,False,
WR,ribs,2012,1,0,0,False,16.0,False,False,
QB,shoulder,2012,1,0,0,True,6.0,False,False,-4.008749999999999
RB,elbow,2012,1,0,0,False,16.0,False,False,
RB,groin,2012,2,0,0,False,16.0,False,False,
QB,shoulder,2012,4,3,3,True,0.0,False,False,-0.03788461538461618
TE,quad,2012,2,0,0,True,2.0,False,False,-3.490178571428571
WR,hamstring,2012,2,1,1,True,3.0,False,False,-6.7887179487179505
WR,calf,2012,1,0,0,True,0.0,False,False,1.6437500000000007
WR,illness,2012,1,0,0,True,0.0,False,False,1.6437500000000007
WR,knee,2012,1,0,0,True,0.0,False,False,1.6437500000000007
QB,concussion,2012,2,0,6,True,1.0,False,False,4.68
QB,hand,2012,4,0,6,True,1.0,False,False,4.68
RB,hamstring,2012,3,0,2,True,2.0,False,False,-5.171428571428571
QB,ankle,2012,1,0,0,True,7.0,False,False,-1.8219444444444441
QB,calf,2012,3,0,0,True,7.0,False,False,-1.8219444444444441
WR,back,2012,1,0,0,True,3.0,False,False,-5.698076923076922
WR,groin,2012,1,0,0,True,3.0,False,False,-5.698076923076922
WR,knee,2012,4,0,0,True,3.0,True,False,-5.698076923076922
TE,core,2012,1,0,1,True,2.0,False,False,-4.842380952380953
WR,calf,2012,3,0,0,True,0.0,False,False,-1.6249999999999982
RB,hand,2012,6,0,0,True,0.0,False,False,-2.1187500000000004
RB,knee,2012,1,0,0,True,0.0,True,False,-2.1187500000000004
RB,ribs,2012,2,0,0,True,0.0,False,False,-2.1187500000000004
RB,hand,2012,4,2,3,True,1.0,False,False,-5.060512820512821
RB,other,2012,1,0,3,True,1.0,False,False,-5.060512820512821
TE,ribs,2012,1,0,0,False,9.0,False,False,
QB,concussion,2012,2,1,7,True,7.0,False,False,3.2933333333333312
WR,hamstring,2012,5,0,0,True,5.0,True,True,-7.93125
WR,hip,2012,2,0,0,True,5.0,False,False,-7.93125
RB,concussion,2012,2,1,6,True,0.0,False,False,3.0162499999999994
RB,knee,2012,4,3,6,True,0.0,True,False,3.0162499999999994
RB,hip,2012,1,0,0,True,2.0,False,False,4.535714285714285
RB,knee,2012,2,0,0,True,2.0,True,False,4.535714285714285
TE,back,2012,1,0,0,True,1.0,False,False,6.34375
TE,concussion,2012,1,0,0,True,1.0,True,False,6.34375
QB,concussion,2012,2,1,1,True,5.0,False,False,3.0229090909090903
QB,neck,2012,1,0,1,True,5.0,False,False,3.0229090909090903
QB,ribs,2012,1,0,1,True,5.0,False,False,3.0229090909090903
RB,other,2012,1,0,0,True,1.0,False,False,1.644166666666667
WR,groin,2012,11,6,8,True,1.0,False,False,-0.6691666666666656
TE,hip,2012,3,0,0,True,7.0,False,False,0.1402777777777775
RB,foot,2012,9,9,10,True,1.0,False,False,-0.4986666666666668
TE,calf,2012,2,0,1,False,12.0,False,False,
TE,back,2012,6,0,1,False,11.0,True,False,
TE,hamstring,2012,3,0,1,False,11.0,False,False,
TE,illness,2012,1,0,1,False,11.0,False,False,
TE,quad,2012,1,0,1,False,11.0,False,False,
WR,back,2012,1,0,2,True,1.0,False,False,-2.3414285714285716
WR,calf,2012,1,0,2,True,1.0,False,False,-2.3414285714285716
WR,hamstring,2012,4,2,2,True,1.0,False,False,-2.3414285714285716
WR,hand,2012,4,0,2,True,1.0,False,False,-2.3414285714285716
WR,hamstring,2012,1,0,0,True,0.0,True,False,-1.9125000000000014
WR,shoulder,2012,1,0,0,True,0.0,False,False,-1.9125000000000014
