ecr_rank,player,pos,team_26,age,draft_year,draft_round,bye,ecr_ovr,ecr_sd,ecr_best,ecr_worst,ecr_pos,ecr_bestball,status_26,g_25,ppgA_25,ppgB_25,top6A_25,floorA_25,ptsA_25,ptsB_25,ppr_25,tgt_25,rec_25,re_yds_25,re_td_25,tgt_share_25,car_25,ru_yds_25,ru_td_25,pass_yds_25,pass_td_25,int_25,ru100_25,re100_25,p300_25,snap_pct_25,g_24,ppgA_24,ppgB_24,ppr_24,tgt_24,tgt_share_24,car_24
1,Ja'Marr Chase,WR,CIN,26.5,2021.0,1.0,6.0,1.55,0.95,1,4,1.18,3.17,ACT,16.0,20.25625,20.475,30.48333333333333,9.875,324.1,327.6,313.6,185.0,125.0,1412.0,8.0,0.3228621291448517,3.0,14.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.94375,17.0,24.529411764705884,24.41176470588235,403.0,175.0,0.27910685805422647,3.0
2,Jahmyr Gibbs,RB,DET,24.5,2023.0,1.0,6.0,2.48,1.3,1,7,1.19,1.5,ACT,17.0,22.494117647058825,22.17058823529412,38.51666666666667,11.600000000000001,382.40000000000003,376.90000000000003,366.9,94.0,77.0,616.0,5.0,0.1709090909090909,243.0,1223.0,13.0,0.0,0.0,0.0,3.0,1.0,0.0,0.67,17.0,22.229411764705883,21.93529411764706,362.9,63.0,0.12115384615384615,250.0
3,Puka Nacua,WR,LA,25.3,2023.0,5.0,11.0,3.19,1.22,1,8,2.11,4.0,ACT,16.0,24.40625,24.3125,35.36666666666667,16.450000000000003,390.5,389.0,375.0,166.0,129.0,1715.0,10.0,0.3029197080291971,10.0,105.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.6825,11.0,19.463636363636365,19.69090909090909,206.6,106.0,0.29859154929577464,11.0
4,Bijan Robinson,RB,ATL,24.6,2023.0,1.0,11.0,4.1,1.43,2,7,1.83,1.5,ACT,17.0,22.870588235294118,22.63529411764706,34.61666666666667,14.7,388.8,384.8,370.8,103.0,79.0,820.0,4.0,0.19884169884169883,287.0,1478.0,7.0,0.0,0.0,0.0,5.0,2.0,0.0,0.7817647058823529,17.0,20.982352941176472,20.68823529411765,341.7,72.0,0.13358070500927643,304.0
5,Jaxon Smith-Njigba,WR,SEA,24.6,2023.0,1.0,11.0,4.67,1.29,1,8,3.21,6.17,ACT,17.0,21.964705882352945,22.229411764705883,29.75,19.8,373.40000000000003,377.90000000000003,359.9,163.0,119.0,1793.0,10.0,0.35824175824175825,7.0,36.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.7741176470588236,17.0,15.147058823529411,15.235294117647058,253.0,137.0,0.24077328646748683,5.0
6,Amon-Ra St. Brown,WR,DET,26.9,2021.0,4.0,6.0,5.42,1.26,3,9,3.63,7.33,ACT,17.0,19.5,19.647058823529413,31.349999999999998,13.7,331.5,334.0,324.0,172.0,117.0,1401.0,11.0,0.31272727272727274,3.0,9.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.8523529411764706,17.0,18.951764705882354,19.187058823529412,316.18,141.0,0.27115384615384613,2.0
7,CeeDee Lamb,WR,DAL,27.4,2020.0,1.0,14.0,9.0,1.82,6,16,5.66,11.5,ACT,13.0,16.146153846153847,16.376923076923077,21.433333333333334,11.5,209.9,212.9,200.9,117.0,75.0,1077.0,3.0,0.2526997840172786,1.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.7285714285714285,15.0,17.860000000000003,17.96,263.40000000000003,152.0,0.27289048473967686,14.0
8,Christian McCaffrey,RB,SF,30.3,2017.0,1.0,8.0,9.24,4.26,5,24,3.85,8.33,ACT,17.0,25.211764705882356,24.976470588235294,34.85,17.6,428.6,424.6,416.6,129.0,102.0,924.0,7.0,0.2476007677543186,311.0,1202.0,10.0,0.0,0.0,0.0,4.0,0.0,0.0,0.8311764705882353,4.0,11.950000000000001,11.950000000000001,47.8,19.0,0.18627450980392157,50.0
9,Justin Jefferson,WR,MIN,27.2,2020.0,1.0,6.0,9.36,2.3,4,20,5.85,13.0,ACT,17.0,12.117647058823529,12.205882352941176,18.46666666666667,7.7,206.0,207.5,201.5,141.0,84.0,1048.0,2.0,0.30257510729613735,2.0,7.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.9417647058823531,17.0,19.116470588235295,19.263529411764708,317.48,154.0,0.3013698630136986,1.0
10,Jonathan Taylor,RB,IND,27.6,2020.0,2.0,13.0,11.93,5.35,7,33,4.56,7.33,ACT,17.0,22.488235294117647,22.01764705882353,38.68333333333333,12.8,382.3,374.3,362.3,55.0,46.0,378.0,2.0,0.10396975425330812,323.0,1585.0,18.0,0.0,0.0,0.0,5.0,0.0,0.0,0.8258823529411765,14.0,19.55,18.764285714285712,244.7,31.0,0.07969151670951156,303.0
11,Drake London,WR,ATL,25.1,2022.0,1.0,11.0,12.91,3.81,8,26,7.9,18.17,ACT,12.0,17.45,17.65833333333333,27.36666666666667,7.625,209.39999999999998,211.89999999999998,201.9,112.0,68.0,919.0,7.0,0.30434782608695654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.9066666666666666,17.0,16.78235294117647,16.870588235294118,280.8,158.0,0.29313543599257885,1.0
12,A.J. Brown,WR,NE,29.2,2019.0,2.0,11.0,14.25,5.45,6,35,8.54,19.17,ACT,15.0,15.186666666666667,15.353333333333333,25.533333333333335,8.5,227.8,230.3,220.3,121.0,78.0,1003.0,7.0,0.2951219512195122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.9066666666666666,13.0,17.26153846153846,17.453846153846154,216.9,97.0,0.34275618374558303,0.0
13,James Cook III,RB,BUF,27.0,2022.0,2.0,7.0,15.97,6.48,7,34,5.75,10.33,ACT,17.0,19.658823529411766,18.952941176470592,30.833333333333332,10.700000000000001,334.20000000000005,322.20000000000005,302.2,40.0,33.0,291.0,2.0,0.08350730688935282,309.0,1621.0,12.0,0.0,0.0,0.0,9.0,0.0,0.0,0.571764705882353,16.0,17.41875,17.16875,266.7,38.0,0.08050847457627118,207.0
14,Nico Collins,WR,HOU,27.5,2021.0,3.0,8.0,16.0,3.86,9,28,9.69,22.33,ACT,15.0,15.38,15.48,22.46666666666667,9.3,230.70000000000002,232.20000000000002,226.2,120.0,71.0,1117.0,6.0,0.2464065708418891,2.0,15.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.772,12.0,18.05,18.21666666666667,210.6,99.0,0.24812030075187969,0.0
15,Chase Brown,RB,CIN,26.5,2023.0,5.0,6.0,17.86,5.64,8,34,6.64,13.83,ACT,17.0,17.15294117647059,16.976470588235294,24.566666666666663,11.799999999999999,291.6,288.6,282.6,88.0,69.0,437.0,5.0,0.14497528830313014,232.0,1019.0,6.0,0.0,0.0,0.0,3.0,0.0,0.0,,16.0,16.125,16.0625,255.0,65.0,0.11187607573149742,229.0
16,Chris Olave,WR,NO,26.2,2022.0,1.0,8.0,17.99,5.73,9,36,10.74,27.0,ACT,16.0,17.03125,17.125,25.316666666666663,12.15,272.5,274.0,268.0,156.0,100.0,1163.0,9.0,0.2937853107344633,1.0,-3.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.843125,8.0,9.775,9.8375,76.7,44.0,0.19047619047619047,1.0
17,Brock Bowers,TE,LV,23.7,2024.0,1.0,13.0,19.03,5.03,11,57,1.45,18.83,ACT,12.0,14.933333333333332,15.016666666666666,21.166666666666668,9.400000000000002,179.2,180.2,176.2,86.0,64.0,680.0,7.0,0.23626373626373626,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.8591666666666667,17.0,15.629411764705882,15.688235294117646,262.7,153.0,0.25888324873096447,5.0
18,George Pickens,WR,DAL,25.5,2022.0,2.0,14.0,20.43,6.12,9,40,11.81,24.83,ACT,17.0,17.61176470588235,17.758823529411764,29.25,11.8,299.4,301.9,291.9,137.0,93.0,1429.0,9.0,0.2257001647446458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.8111764705882354,14.0,11.957142857142857,12.028571428571428,164.4,103.0,0.27034120734908135,2.0
19,De'Von Achane,RB,MIA,24.9,2023.0,3.0,6.0,20.99,7.12,10,43,7.77,15.0,ACT,16.0,20.925,20.675,28.45,16.575000000000003,334.8,330.8,322.8,85.0,67.0,488.0,4.0,0.19813519813519814,238.0,1350.0,8.0,0.0,0.0,0.0,4.0,0.0,0.0,0.75375,17.0,17.99411764705882,17.876470588235293,299.9,87.0,0.1564748201438849,203.0
20,Trey McBride,TE,ARI,26.8,2022.0,2.0,14.0,21.0,6.17,16,57,1.68,26.17,ACT,17.0,18.847058823529412,18.93529411764706,28.71666666666667,12.2,320.40000000000003,321.90000000000003,315.9,169.0,126.0,1239.0,11.0,0.2739059967585089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.9135294117647058,16.0,15.51875,15.6125,243.8,147.0,0.2934131736526946,1.0
21,DeVonta Smith,WR,PHI,27.8,2021.0,1.0,10.0,24.04,6.77,12,45,13.53,30.0,ACT,17.0,12.047058823529412,12.105882352941176,20.616666666666667,7.0,204.79999999999998,205.79999999999998,201.79999999999998,113.0,77.0,1008.0,4.0,0.2435344827586207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.8441176470588235,13.0,15.569230769230769,15.646153846153847,199.4,89.0,0.28525641025641024,1.0
22,Saquon Barkley,RB,PHI,29.6,2018.0,1.0,10.0,24.35,6.98,10,39,8.83,17.17,ACT,16.0,15.08125,14.89375,22.566666666666666,9.3,241.3,238.3,232.29999999999998,50.0,37.0,273.0,2.0,0.11627906976744186,280.0,1140.0,7.0,0.0,0.0,0.0,3.0,0.0,0.0,0.783125,16.0,24.58125,23.70625,355.3,43.0,0.11405835543766578,345.0
23,Malik Nabers,WR,NYG,23.1,2024.0,1.0,8.0,24.54,9.07,11,51,13.42,30.0,ACT,4.0,14.65,14.775,14.65,3.825,58.6,59.1,57.1,35.0,18.0,271.0,2.0,0.28688524590163933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.795,15.0,18.540000000000003,18.64,273.6,170.0,0.3490759753593429,5.0
24,Rashee Rice,WR,KC,26.4,2023.0,2.0,5.0,24.68,9.11,9,48,13.69,31.17,ACT,8.0,18.95,19.0125,22.400000000000002,11.525000000000002,151.6,152.1,150.1,78.0,53.0,571.0,5.0,0.2867647058823529,5.0,20.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.74875,4.0,16.975,17.225,64.9,29.0,0.25663716814159293,1.0
25,Omarion Hampton,RB,LAC,23.5,2025.0,1.0,7.0,25.57,7.74,7,47,9.15,22.17,ACT,9.0,15.41111111111111,15.299999999999999,19.933333333333334,8.100000000000001,138.7,137.7,135.7,35.0,32.0,192.0,1.0,0.125,124.0,545.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6344444444444445,,,,,,,
26,Josh Allen,QB,BUF,30.3,2018.0,1.0,7.0,25.84,2.66,21,39,1.04,32.0,ACT,16.0,22.78875,26.28875,32.913333333333334,16.39,364.62,420.62,364.62,0.0,0.0,0.0,0.0,0.0,112.0,579.0,14.0,3668.0,25.0,10.0,0.0,0.0,3.0,0.9217647058823529,16.0,23.69,27.565,379.04,0.0,0.0,102.0
27,Kenneth Walker III,RB,KC,25.9,2022.0,2.0,5.0,26.05,8.38,12,53,9.29,15.0,ACT,17.0,11.641176470588235,11.523529411764706,19.783333333333335,6.6000000000000005,197.9,195.9,191.9,36.0,31.0,282.0,0.0,0.07912087912087912,221.0,1027.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.4688235294117647,11.0,16.745454545454546,16.654545454545456,181.2,53.0,0.13802083333333334,153.0
28,Ashton Jeanty,RB,LV,22.8,2025.0,1.0,13.0,26.37,9.16,11,53,9.47,22.67,ACT,17.0,14.770588235294117,14.652941176470588,24.75,8.2,251.1,249.1,245.1,73.0,55.0,346.0,5.0,0.14807302231237324,266.0,975.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.7788235294117647,,,,,,,
29,Garrett Wilson,WR,NYJ,26.1,2022.0,1.0,13.0,29.62,7.77,12,47,15.89,38.5,ACT,7.0,14.214285714285714,14.214285714285714,16.583333333333332,6.65,99.5,99.5,99.5,59.0,36.0,395.0,4.0,0.3430232558139535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.87,17.0,15.170588235294119,15.28823529411765,251.9,154.0,0.2614601018675722,2.0
30,Zay Flowers,WR,BAL,26.0,2023.0,1.0,13.0,30.3,8.32,15,48,15.89,29.0,ACT,17.0,14.576470588235296,14.664705882352942,22.483333333333334,11.4,247.8,249.3,243.3,118.0,86.0,1211.0,5.0,0.28992628992628994,10.0,62.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.8647058823529411,17.0,12.764705882352942,12.911764705882353,209.5,116.0,0.2538293216630197,9.0
31,Lamar Jackson,QB,BAL,29.7,2018.0,1.0,13.0,32.06,8.8,25,61,2.59,49.83,ACT,13.0,16.52769230769231,19.75846153846154,24.95333333333333,7.220000000000001,214.86,256.86,214.86,0.0,0.0,0.0,0.0,0.0,67.0,349.0,2.0,2549.0,21.0,7.0,0.0,0.0,0.0,0.9223076923076923,17.0,25.492941176470588,30.492941176470588,430.38,0.0,0.0,139.0
32,Jaylen Waddle,WR,DEN,27.8,2021.0,1.0,10.0,34.78,7.82,18,62,17.95,41.33,ACT,16.0,12.22625,12.2575,19.42,7.0,195.62,196.12,194.12,100.0,64.0,910.0,6.0,0.2331002331002331,2.0,28.0,0.0,8.0,0.0,0.0,0.0,1.0,0.0,0.77625,15.0,10.173333333333334,10.24,149.6,83.0,0.1656686626746507,4.0
33,Ladd McConkey,WR,LAC,24.8,2024.0,2.0,7.0,34.85,7.19,18,51,17.92,37.67,ACT,16.0,11.49375,11.55625,18.733333333333334,4.25,183.9,184.9,180.9,106.0,66.0,789.0,6.0,0.21157684630738524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.775,16.0,15.3375,15.43125,240.9,112.0,0.24507658643326038,0.0
34,Tetairoa McMillan,WR,CAR,23.4,2025.0,1.0,5.0,35.61,6.89,18,50,18.12,35.67,ACT,17.0,12.729411764705883,12.788235294117648,19.9,8.600000000000001,216.4,217.4,213.4,122.0,70.0,1014.0,7.0,0.25416666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.871764705882353,,,,,,,
35,Tee Higgins,WR,CIN,27.6,2020.0,2.0,6.0,36.89,6.93,19,51,18.56,36.17,ACT,15.0,14.206666666666667,14.24,22.0,9.0,213.1,213.6,211.6,98.0,59.0,846.0,11.0,0.1859582542694497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8086666666666666,12.0,18.758333333333336,18.84166666666667,222.1,109.0,0.2494279176201373,0.0
36,Colston Loveland,TE,CHI,22.4,2025.0,1.0,10.0,37.44,13.7,22,95,3.23,41.5,ACT,16.0,10.4125,10.44375,19.283333333333335,5.075,166.6,167.1,165.1,82.0,58.0,713.0,6.0,0.16532258064516128,1.0,-2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.645,,,,,,,
37,Drake Maye,QB,NE,24.0,2024.0,1.0,11.0,37.67,12.69,26,74,3.27,59.0,ACT,17.0,20.70352941176471,24.468235294117648,26.53,15.96,351.96000000000004,415.96000000000004,351.96,1.0,1.0,2.0,0.0,0.002074688796680498,103.0,450.0,4.0,4394.0,31.0,8.0,0.0,0.0,1.0,0.9576470588235295,13.0,13.626153846153848,15.933846153846154,177.14000000000001,0.0,0.0,54.0
