player,pos,mean,sd,exp_missed,avail,vor,score
Jahmyr Gibbs,RB,22.756503261456892,15.25620654800184,3.63,17.047298178509028,9.463898178509027,9.970979116312337
Ja'Marr Chase,WR,22.083086282064926,10.716029659657847,3.4,17.406668010568826,9.209064432010722,9.458283158543855
Bijan Robinson,RB,22.2930670769685,11.24465232376497,3.63,16.70012995442317,9.116729954423167,9.423233181014636
Puka Nacua,WR,20.912354235691726,11.768515553515376,4.2,15.991800297881907,7.7941967193238035,8.096039740549813
Jaxon Smith-Njigba,WR,19.432705251506693,7.872494933030332,2.92,15.591888213561841,7.3942846350037374,7.501326625205494
Amon-Ra St. Brown,WR,18.98120955749014,11.438476734250939,2.92,15.229629315539148,7.032025736981044,7.3173668172438315
Christian McCaffrey,RB,21.81214755411149,9.104455115006964,6.59,14.44092474832499,6.85752474832499,7.0570181144785575
Jonathan Taylor,RB,20.02050935069773,14.218512683863123,5.02,14.17923132837651,6.5958313283765095,7.051027572972885
James Cook III,RB,18.799918523331772,10.950973633856114,4.52,13.591235214808675,6.007835214808675,6.2996545069047
Chase Brown,RB,17.87838321965561,7.595485307656353,3.63,13.393012370724364,5.809612370724364,5.933657246510401
Trey McBride,TE,16.67068022424819,8.789490716692493,3.11,13.184546800883348,5.503947858788284,5.697634511067236
De'Von Achane,RB,17.439501223044154,7.980935617666223,4.62,12.55644088059179,4.97304088059179,5.11635827187832
George Pickens,WR,15.817539161197185,10.280861001938332,2.92,12.691249068160566,4.4936454896024625,4.7211057832496195
Drake London,WR,17.22591542670779,12.11314087337309,5.9799999999999995,12.270931518672432,4.0733279401143285,4.392402227333223
CeeDee Lamb,WR,17.193848683691634,6.568055950915688,5.4799999999999995,12.500939395907565,4.303335817349462,4.345155858445486
Justin Jefferson,WR,15.70706682893191,6.2077809334453065,3.2199999999999998,12.464019501311265,4.266415922753161,4.290222212975666
Kyren Williams,RB,15.70001762101283,6.215901098842246,3.63,11.761160259035197,4.177760259035197,4.232825924380529
Chris Olave,WR,15.436414741550537,8.352941098798674,3.6,12.076724474271892,3.879120895713788,4.010185194203962
Nico Collins,WR,15.74510743960542,6.784141171037897,4.1,12.086685416873573,3.8890818383154695,3.9417061404176046
Ashton Jeanty,RB,15.068555751447498,9.492152331392123,3.63,11.28812102909905,3.7047210290990504,3.9235992560718755
Josh Allen,QB,22.966619403923204,10.404942335255877,3.65,17.866678918640257,3.7153750657406093,3.9052482675483065
Brock Bowers,TE,15.898322675167043,10.526273046165212,5.93,11.255077258566788,3.5744783164717235,3.8550040852243113
A.J. Brown,WR,15.734210038749298,10.351319216593097,4.7,11.800657529061974,3.6030539505038703,3.8340371548837653
