team,playoff_RB,playoff_WR,playoff_QB,playoff_TE,playoff_ALL,w1_4_ALL,W15,W16,W17
MIN,25.0,34.1,19.2,15.0,93.3,87.7,DET,WAS,@NYJ
JAX,24.2,33.8,18.7,13.6,90.3,79.8,@HOU,@DAL,WAS
CLE,23.5,35.8,17.8,12.6,89.7,85.4,@NYG,@BAL,IND
LA,22.3,32.8,19.3,14.3,88.7,81.2,DAL,@SEA,@TB
TEN,21.2,35.5,17.4,14.1,88.2,86.8,IND,@LV,PIT
NO,23.9,32.1,17.8,14.3,88.0,85.6,@TB,ARI,@ATL
NYG,22.6,34.3,18.4,12.7,88.0,91.2,CLE,@DET,@DAL
ATL,23.5,31.6,17.7,14.8,87.6,82.0,@WAS,TB,NO
BAL,24.0,29.5,16.8,16.6,87.0,89.5,@PIT,CLE,@CIN
CAR,22.7,29.4,17.2,17.5,86.9,83.9,CIN,@PIT,SEA
IND,24.5,29.4,16.9,15.8,86.6,82.8,@TEN,CIN,@CLE
PIT,23.4,33.2,16.8,12.9,86.3,82.5,BAL,CAR,@TEN
CIN,22.9,33.5,16.3,13.3,86.0,83.5,@CAR,@IND,BAL
LV,21.9,31.2,16.7,14.9,84.8,77.4,DEN,TEN,@ARI
ARI,24.5,30.8,16.7,12.6,84.5,81.0,NYJ,@NO,LV
BUF,21.5,31.4,17.0,14.4,84.3,76.8,CHI,@DEN,@MIA
LAC,23.2,30.0,17.0,14.1,84.3,80.3,SF,@MIA,KC
DAL,22.0,32.6,16.5,13.1,84.2,87.1,@LA,JAX,NYG
GB,22.6,31.1,16.5,13.9,84.1,83.4,MIA,@CHI,HOU
DET,22.9,31.6,16.0,11.7,82.2,80.6,@MIN,NYG,@CHI
CHI,22.1,31.5,15.4,11.1,80.2,78.5,@BUF,GB,DET
NE,21.9,28.5,16.4,13.3,80.1,79.9,@KC,@NYJ,DEN
TB,21.4,31.3,15.3,11.9,80.0,79.0,NO,@ATL,LA
KC,20.8,29.9,15.0,13.1,78.8,83.9,NE,SF,@LAC
PHI,20.9,28.5,15.0,14.0,78.4,89.9,SEA,HOU,@SF
NYJ,22.2,28.0,14.3,13.9,78.4,87.3,@ARI,NE,MIN
HOU,21.2,30.2,15.1,11.8,78.3,89.5,JAX,@PHI,@GB
SEA,23.0,28.8,14.5,11.7,78.1,84.1,@PHI,LA,@CAR
DEN,22.5,30.0,14.6,10.6,77.7,81.0,@LV,BUF,@NE
WAS,20.3,29.9,14.6,11.9,76.7,84.9,ATL,@MIN,@JAX
MIA,22.0,28.7,13.6,10.1,74.3,77.8,@GB,LAC,BUF
SF,20.7,27.5,14.1,10.0,72.2,83.8,@LAC,@KC,PHI
