opponent_team,QB,RB,TE,WR,ALL
ARI,17.0,26.9,16.9,30.5,91.3
ATL,16.8,22.2,10.2,34.0,83.2
BAL,17.7,23.3,10.9,36.7,88.6
BUF,13.1,24.8,7.6,26.7,72.2
CAR,13.8,25.1,13.7,27.0,79.6
CHI,18.6,21.5,13.1,36.7,89.9
CIN,18.4,29.4,21.1,25.4,94.3
CLE,13.3,22.4,12.1,27.0,74.8
DAL,23.8,25.8,12.3,39.8,101.7
DEN,14.2,17.1,13.7,27.2,72.2
DET,18.2,19.5,13.7,36.2,87.6
GB,15.0,22.1,12.1,31.6,80.8
HOU,12.8,20.3,12.4,26.3,71.8
IND,17.4,20.3,15.4,36.7,89.8
JAX,15.9,18.3,14.9,31.7,80.8
KC,15.1,19.6,11.1,27.5,73.3
LA,15.2,20.7,13.1,32.2,81.2
LAC,12.6,19.1,10.5,27.7,69.9
LV,16.1,23.1,10.1,33.8,83.1
MIA,18.2,26.0,16.3,30.2,90.7
MIN,11.1,20.3,10.7,24.1,66.2
NE,14.7,19.5,14.0,29.5,77.7
NO,14.0,21.4,12.5,27.8,75.7
NYG,18.3,26.9,11.4,34.0,90.6
NYJ,19.9,28.9,15.2,30.7,94.7
PHI,14.5,23.3,8.3,27.3,73.4
PIT,18.8,20.3,16.7,36.0,91.8
SEA,14.5,18.5,14.8,26.9,74.7
SF,17.6,23.9,14.9,32.4,88.8
TB,19.5,22.5,15.9,31.7,89.6
TEN,19.0,21.8,14.2,35.8,90.8
WAS,19.6,26.6,16.0,35.3,97.5
