league,policy,p_playoffs,p_title,avg_ppg,example
A,"Hero-RB (RB, then WR/TE x2)",0.9516666666666668,0.195,126.0651051849703,"['Jahmyr Gibbs', 'Drake London', 'CeeDee Lamb', 'Tetairoa McMillan', 'Jameson Williams', 'TreVeyon Henderson', 'Jadarian Price', ""Wan'Dale Robinson"", 'Caleb Williams', 'Rico Dowdle', 'Dallas Goedert', 'Jonathon Brooks', 'Jordan Watkins', 'Troy Franklin', 'Cleveland Browns']"
A,RB-RB,0.9466666666666668,0.23,126.76448353588154,"['Jahmyr Gibbs', 'Chase Brown', 'George Pickens', 'Zay Flowers', 'DeVonta Smith', 'Jameson Williams', 'Tee Higgins', 'Harold Fannin Jr.', 'Carnell Tate', 'Caleb Williams', 'Michael Wilson', 'Woody Marks', 'Phil Mafah', 'James Conner', 'Los Angeles Chargers']"
A,WR-WR,0.9483333333333334,0.1733333333333333,124.9021471105739,"[""Ja'Marr Chase"", 'George Pickens', 'Jahmyr Gibbs', 'Zay Flowers', 'Jameson Williams', 'TreVeyon Henderson', 'Jadarian Price', 'Harold Fannin Jr.', 'Carnell Tate', 'Dak Prescott', ""Wan'Dale Robinson"", 'Romeo Doubs', 'Woody Marks', 'Phil Mafah', 'Los Angeles Chargers']"
A,WR-WR-WR,0.9083333333333332,0.1416666666666666,122.7048580805999,"[""Ja'Marr Chase"", 'George Pickens', 'Drake London', 'Chris Olave', 'Tetairoa McMillan', 'Jameson Williams', 'Kyle Pitts Sr.', ""Wan'Dale Robinson"", 'Caleb Williams', 'Woody Marks', 'Phil Mafah', 'James Conner', 'Zach Charbonnet', 'Isiah Pacheco', 'Cleveland Browns']"
A,Robust-RB (RB in 3 of first 4),0.95,0.215,126.15227328571316,"['Jahmyr Gibbs', 'James Cook III', 'Chase Brown', 'Zay Flowers', 'Jameson Williams', 'TreVeyon Henderson', 'Jadarian Price', 'Kyle Pitts Sr.', ""Wan'Dale Robinson"", 'Caleb Williams', 'Makai Lemon', 'KC Concepcion', 'Jordan Watkins', 'Troy Franklin', 'Los Angeles Chargers']"
A,Zero-RB (no RB before R5),0.9383333333333334,0.1366666666666666,122.66834030715148,"[""Ja'Marr Chase"", 'George Pickens', 'Chris Olave', 'Zay Flowers', 'Tetairoa McMillan', 'Jameson Williams', 'TreVeyon Henderson', 'Harold Fannin Jr.', ""D'Andre Swift"", 'Trevor Lawrence', 'Rico Dowdle', 'Jonathon Brooks', ""De'Zhaun Stribling"", 'Kyle Monangai', 'Cleveland Browns']"
A,Best available by board,0.935,0.2,126.47001653285136,"['Jahmyr Gibbs', 'Chase Brown', 'George Pickens', 'Javonte Williams', 'Jameson Williams', 'TreVeyon Henderson', 'Jadarian Price', 'Harold Fannin Jr.', 'Caleb Williams', 'RJ Harvey', 'Khalil Shakir', 'Jordan Watkins', 'Troy Franklin', 'Tre Tucker', 'Cleveland Browns']"
B,"Hero-RB (RB, then WR/TE x2)",0.8583333333333333,0.2066666666666666,129.11408518996663,"['Jahmyr Gibbs', 'CeeDee Lamb', 'Nico Collins', 'Tetairoa McMillan', 'Drake Maye', 'Jameson Williams', 'Jadarian Price', ""Wan'Dale Robinson"", 'Quentin Johnston', 'Rico Dowdle', 'Dallas Goedert', 'Jonathon Brooks', 'Jordan Watkins', 'Kyle Monangai', 'Cleveland Browns']"
B,RB-RB,0.8666666666666667,0.25,129.68677211098012,"['Jahmyr Gibbs', 'Kyren Williams', 'Trey McBride', 'Nico Collins', 'Drake Maye', 'Jameson Williams', 'TreVeyon Henderson', ""Wan'Dale Robinson"", 'Quentin Johnston', 'Michael Wilson', 'Makai Lemon', 'Khalil Shakir', 'Woody Marks', 'Phil Mafah', 'Los Angeles Chargers']"
B,WR-WR,0.865,0.235,128.0487685654196,"[""Ja'Marr Chase"", 'George Pickens', 'Trey McBride', 'DeVonta Smith', 'Tetairoa McMillan', 'Jameson Williams', 'Jadarian Price', 'Carnell Tate', 'Caleb Williams', ""Wan'Dale Robinson"", 'Woody Marks', 'Phil Mafah', 'James Conner', 'Isiah Pacheco', 'Cleveland Browns']"
