name,pos,team,g,ppgA,tgt_pg,car_pg,tgt_share,car_share,snapf,age,model_A,model_B
Josh Allen,QB,BUF,16,22.78875,0.0,7.0,0.0,0.2222222222222222,0.9217647058823529,30.305270362765228,20.99239321961112,24.724347802185736
Christian McCaffrey,RB,SF,17,25.211764705882356,7.588235294117647,18.294117647058822,0.2476007677543186,0.6492693110647182,0.8311764705882353,30.258726899383984,20.809000990575914,20.60519617838882
Puka Nacua,WR,LA,16,24.40625,10.375,0.625,0.3029197080291971,0.022935779816513763,0.6825,25.284052019164957,20.570537348388797,20.689303000299475
Bijan Robinson,RB,ATL,17,22.870588235294118,6.0588235294117645,16.88235294117647,0.19884169884169883,0.6016771488469602,0.7817647058823529,24.61054072553046,20.129626800995826,19.90021158398347
Jahmyr Gibbs,RB,DET,17,22.494117647058825,5.529411764705882,14.294117647058824,0.1709090909090909,0.5510204081632653,0.67,24.476386036960985,19.736499169972603,19.51173420348512
Ja'Marr Chase,WR,CIN,16,20.25625,11.5625,0.1875,0.3228621291448517,0.008379888268156424,0.94375,26.527036276522928,19.338341681776907,19.451922848967598
Jaxon Smith-Njigba,WR,SEA,17,21.964705882352945,9.588235294117647,0.4117647058823529,0.35824175824175825,0.013806706114398421,0.7741176470588236,24.569472963723477,18.81905020889574,18.930200179082377
Patrick Mahomes,QB,KC,14,20.405714285714286,0.07142857142857142,4.571428571428571,0.0020964360587002098,0.17158176943699732,0.9742857142857143,30.981519507186857,18.68779883871704,22.245744907514393
Jalen Hurts,QB,PHI,16,18.81625,0.0,6.5625,0.0,0.2292576419213974,0.9762500000000001,28.093086926762492,18.682331688638808,22.09057558239191
Jaxson Dart,QB,NYG,14,17.255714285714287,0.0,6.142857142857143,0.0,0.2097560975609756,0.8364285714285714,23.329226557152634,18.450099573083225,21.42991903329706
Jonathan Taylor,RB,IND,17,22.488235294117647,3.235294117647059,19.0,0.10396975425330812,0.7324263038548753,0.8258823529411765,27.641341546885695,18.3057245837484,18.02721184816741
Drake Maye,QB,NE,17,20.70352941176471,0.058823529411764705,6.0588235294117645,0.002074688796680498,0.20850202429149797,0.9576470588235295,24.030116358658454,18.274085680146932,21.74963003157036
De'Von Achane,RB,MIA,16,20.925,5.3125,14.875,0.19813519813519814,0.5876543209876544,0.75375,24.908966461327857,18.226187320037887,18.013394466433507
Justin Herbert,QB,LAC,16,18.43,0.0,5.1875,0.0,0.18651685393258427,0.968125,28.503764544832308,18.17031456893763,21.43991506345327
Brock Purdy,QB,SF,9,19.70888888888889,0.0,3.6666666666666665,0.0,0.12177121771217712,0.9777777777777779,26.704996577686515,18.158146874612367,21.818584244616783
Lamar Jackson,QB,BAL,13,16.52769230769231,0.0,5.153846153846154,0.0,0.18457300275482094,0.9223076923076923,29.672826830937716,17.97449406970968,21.11304845850033
Amon-Ra St. Brown,WR,DET,17,19.5,10.117647058823529,0.17647058823529413,0.31272727272727274,0.006802721088435374,0.8523529411764706,26.88021902806297,17.916058820862627,18.01760049518714
Trevor Lawrence,QB,JAX,17,19.89294117647059,0.0,4.823529411764706,0.0,0.1680327868852459,0.9670588235294119,26.92950034223135,17.755062928071137,21.312568201075912
Jayden Daniels,QB,WAS,7,16.325714285714287,0.0,8.285714285714286,0.0,0.29441624365482233,0.9028571428571429,25.727583846680357,17.681258814180456,20.502178453355697
Justin Fields,QB,NYJ,9,15.851111111111111,0.1111111111111111,7.888888888888889,0.004484304932735426,0.27413127413127414,0.8977777777777778,27.51813826146475,17.586026471367703,20.268767586841022
Bo Nix,QB,DEN,17,17.93176470588235,0.058823529411764705,4.882352941176471,0.0017391304347826088,0.1860986547085202,0.9964705882352942,26.54072553045859,17.512240101013784,20.91167139864744
Caleb Williams,QB,CHI,17,18.745882352941177,0.11764705882352941,4.529411764705882,0.0037593984962406013,0.15247524752475247,0.9905882352941177,24.810403832991103,17.472578206687245,20.85084521375456
Rashee Rice,WR,KC,8,18.95,9.75,0.625,0.2867647058823529,0.0228310502283105,0.74875,26.38466803559206,17.31787615717824,17.4128235708528
Matthew Stafford,QB,LA,17,21.081176470588236,0.0,1.7058823529411764,0.0,0.06236559139784946,0.9852941176470589,38.59000684462697,17.186476908643765,21.435813866846253
Baker Mayfield,QB,TB,17,15.99529411764706,0.0,3.235294117647059,0.0,0.11652542372881355,0.9711764705882354,31.408624229979466,17.001392074026462,20.20978726760708
Drake London,WR,ATL,12,17.45,9.333333333333334,0.0,0.30434782608695654,0.0,0.9066666666666666,25.130732375085557,16.88183085341558,16.977553400034704
Dak Prescott,QB,DAL,17,18.457647058823532,0.0,3.1176470588235294,0.0,0.11422413793103449,0.9505882352941176,33.1170431211499,16.859801390779793,20.56911530619899
Jacoby Brissett,QB,ARI,14,16.81714285714286,0.0,2.7142857142857144,0.0,0.1292517006802721,0.8571428571428571,33.74674880219028,16.852703367166338,20.396334351785576
Jared Goff,QB,DET,17,17.474117647058822,0.0,1.1176470588235294,0.0,0.04308390022675737,0.9852941176470589,31.906913073237508,16.812938801364474,20.57578464935053
Daniel Jones,QB,IND,13,17.41846153846154,0.0,3.4615384615384617,0.0,0.13196480938416422,0.9146153846153846,29.28952772073922,16.758293862565427,20.22704898112743
Joe Burrow,QB,CIN,8,16.8075,0.0,1.75,0.0,0.06763285024154589,0.8775,29.749486652977414,16.6568917293346,20.256274223514964
Jordan Love,QB,GB,15,15.675999999999998,0.0,3.1333333333333333,0.0,0.10681818181818181,0.9426666666666667,27.854893908281998,16.58680437227834,19.86216700094736
James Cook,RB,BUF,17,19.658823529411766,2.3529411764705883,18.176470588235293,0.08350730688935282,0.5648994515539305,0.571764705882353,26.9596167008898,16.460908475234973,16.20580421119273
Kyler Murray,QB,ARI,5,15.556000000000001,0.0,5.8,0.0,0.23577235772357724,0.9879999999999999,29.09240246406571,16.377574315429566,19.236329956593273
Marcus Mariota,QB,WAS,10,12.55,0.0,5.0,0.0,0.17793594306049823,0.7454545454545454,32.86242299794661,16.26825299164808,18.933124201053975
Trey McBride,TE,ARI,17,18.847058823529412,9.941176470588236,0.0,0.2739059967585089,0.0,0.9135294117647058,26.80082135523614,16.151164370065008,16.22151517110659
Malik Willis,QB,GB,4,12.795,0.0,5.5,0.0,0.1746031746031746,0.4225,27.29637234770705,16.127134923130342,18.798516600846582
Tyler Shough,QB,NO,11,14.360000000000001,0.0,4.090909090909091,0.0,0.16129032258064516,0.8345454545454545,26.951403148528406,16.063168957465564,19.10368308617763
C.J. Stroud,QB,HOU,14,14.895714285714286,0.0,3.4285714285714284,0.0,0.1188118811881188,0.9121428571428571,24.93634496919918,15.843826983007002,18.92899299376139
