coach,season,pass_rate,plays,rb_tgt,te_tgt,n
Aaron Glenn,2025,0.5149098526733541,55.88235294117647,0.17676864410037754,0.21300624955259959,17
Andy Reid,2023,0.6047942778217817,61.88235294117647,0.18129396634411973,0.28408653629118186,17
Andy Reid,2024,0.5757925699833844,61.76470588235294,0.1666566400878246,0.3279956763944427,17
Andy Reid,2025,0.5804229458867313,59.64705882352941,0.1656880038247542,0.2703366183072906,17
Antonio Pierce,2023,0.5568406752646672,58.666666666666664,0.1286294130053423,0.1612491659131639,9
Antonio Pierce,2024,0.6273705970771315,59.705882352941174,0.18922404837009169,0.33173738050092044,17
Arthur Smith,2023,0.5019544386691681,61.88235294117647,0.25080691651893144,0.3351353931529001,17
Ben Johnson,2025,0.5363941145608029,63.470588235294116,0.14698894602262338,0.2583151493834885,17
Bill Belichick,2023,0.5737539208844956,57.1764705882353,0.2219676015762715,0.22781400275496164,17
Brandon Staley,2023,0.5956969040654846,61.714285714285715,0.15690982247830948,0.20694509136362688,14
Brian Callahan,2024,0.5472903187261167,57.64705882352941,0.19043992589842182,0.2450661861935479,17
Brian Callahan,2025,0.6053556049821484,55.76470588235294,0.17404283132773757,0.26113906315111085,17
Brian Daboll,2023,0.539710567611197,57.1764705882353,0.2132549147248294,0.21666647087063273,17
Brian Daboll,2024,0.5829881191808753,59.705882352941174,0.15587533255477812,0.11505553642257225,17
Brian Daboll,2025,0.5049210609582618,61.0,0.19593744816943123,0.20380782124383723,17
Brian Schottenheimer,2025,0.5726031818300356,64.05882352941177,0.1349462996924643,0.22624391546241165,17
Dan Campbell,2023,0.5491553183991903,65.05882352941177,0.17636945774065593,0.24342003816430335,17
Dan Campbell,2024,0.49852698396800554,63.8235294117647,0.2043679854902812,0.2056282349046143,17
Dan Campbell,2025,0.5666578310407943,60.23529411764706,0.21580602413074115,0.17264695274203284,17
Dan Quinn,2024,0.5031353398804577,61.8235294117647,0.15907045149797078,0.21461032627389112,17
Dan Quinn,2025,0.49151466496909,56.05882352941177,0.12472440496502657,0.23006967820493596,17
Dave Canales,2024,0.5730420636492345,56.294117647058826,0.1739252596893137,0.1707927539165007,17
Dave Canales,2025,0.5268962670012316,57.411764705882355,0.19435610211800883,0.20417051392950056,17
DeMeco Ryans,2023,0.5700870547611012,60.94117647058823,0.1234768139150793,0.20572666999882952,17
DeMeco Ryans,2024,0.5712087681129153,59.05882352941177,0.17365285956808157,0.20130617045190685,17
DeMeco Ryans,2025,0.5501551745070784,62.1764705882353,0.13985287825670167,0.2381306289528765,17
Dennis Allen,2023,0.5585346397675406,63.88235294117647,0.21635058001826543,0.23199838426024616,17
Dennis Allen,2024,0.5581019579564797,58.529411764705884,0.25539487708282044,0.2749257876892613,17
Doug Pederson,2023,0.5802377024834668,63.11764705882353,0.15119651353435293,0.27934962474330616,17
Doug Pederson,2024,0.5668408523357816,56.470588235294116,0.16141180593728977,0.2661275853619617,17
Frank Reich,2023,0.6036500009362967,61.45454545454545,0.18737445125640473,0.16922274285951505,11
Jerod Mayo,2024,0.546437000255929,57.35294117647059,0.16232380050906037,0.31871492752997566,17
Jim Harbaugh,2024,0.5297569687321116,57.23529411764706,0.11286203813752914,0.22604007010475582,17
Jim Harbaugh,2025,0.5508783101016943,60.88235294117647,0.1266911354130067,0.1789516629831318,17
John Harbaugh,2023,0.4761563776442178,60.88235294117647,0.175717778422924,0.22973309067599043,17
John Harbaugh,2024,0.4593396338875437,60.64705882352941,0.18712132730581083,0.2895046254165399,17
John Harbaugh,2025,0.4578408448926846,54.64705882352941,0.17731450670798063,0.29545941572581014,17
Jonathan Gannon,2023,0.5404633662821822,60.35294117647059,0.1507215035445528,0.3321583912110881,17
Jonathan Gannon,2024,0.5379000495875439,59.1764705882353,0.18573553247039284,0.33188548254303346,17
Jonathan Gannon,2025,0.6370092208019331,59.705882352941174,0.19947486721601349,0.3665814049130882,17
Josh McDaniels,2023,0.5907130758039725,55.25,0.2523473656951485,0.12759565350113772,8
Kellen Moore,2025,0.5730394773650666,60.35294117647059,0.14110480653123295,0.24853753926727642,17
Kevin O'Connell,2023,0.6193239518040876,60.23529411764706,0.13511404796347262,0.2956601778720471,17
Kevin O'Connell,2024,0.5471959598583701,59.11764705882353,0.15619626424625538,0.22031977563412547,17
Kevin O'Connell,2025,0.5370783400558374,52.588235294117645,0.17124757177712863,0.20728204456651467,17
Kevin Stefanski,2023,0.546961767191986,67.17647058823529,0.16207206887162884,0.2777730741958168,17
Kevin Stefanski,2024,0.6215530506018588,61.88235294117647,0.14339952901767147,0.2589299368802883,17
Kevin Stefanski,2025,0.5624636371535628,57.588235294117645,0.22836922672024687,0.31987906776719877,17
Kyle Shanahan,2023,0.49718906098831206,58.23529411764706,0.20122409326919527,0.1952221635016051,17
Kyle Shanahan,2024,0.5398622030143148,58.23529411764706,0.12234502752774207,0.21023999693372816,17
Kyle Shanahan,2025,0.5529405973468198,62.05882352941177,0.2544168570564112,0.2364324263648036,17
Liam Coen,2025,0.5349594807235126,61.88235294117647,0.14529461090567017,0.19516565015373907,17
Matt Eberflus,2023,0.49061751397562253,61.588235294117645,0.19953388720729315,0.23458046749970643,17
Matt Eberflus,2024,0.5655380040393513,58.64705882352941,0.14966048407633337,0.1250957841747202,17
Matt LaFleur,2023,0.5720236865295579,60.11764705882353,0.16897005209034976,0.18082332537245235,17
Matt LaFleur,2024,0.47650654184452923,59.11764705882353,0.15280257320582838,0.18565632669139973,17
Matt LaFleur,2025,0.49684716311558336,57.705882352941174,0.16278929658857344,0.21639827546609447,17
Mike Macdonald,2024,0.604059136040815,57.411764705882355,0.19196060893874214,0.21177061295638053,17
Mike Macdonald,2025,0.4874549345422333,58.11764705882353,0.13920269299856855,0.21902772436560125,17
Mike McCarthy,2023,0.5702108774035635,63.64705882352941,0.16893128304460484,0.20914853770822628,17
Mike McCarthy,2024,0.5959403293966206,62.705882352941174,0.13176771223799164,0.2162835483949887,17
Mike McDaniel,2023,0.5581208908849221,60.11764705882353,0.2012254798214111,0.09319733340852539,17
Mike McDaniel,2024,0.569481393843102,61.11764705882353,0.20804344535602595,0.26467754527602816,17
Mike McDaniel,2025,0.532411541447284,53.588235294117645,0.21647917179027776,0.23064959421813058,17
Mike Tomlin,2023,0.5122613367139026,58.411764705882355,0.24242804939544213,0.1195769882706348,17
Mike Tomlin,2024,0.4859020456581945,60.705882352941174,0.22961487573974737,0.24571899410856948,17
Mike Tomlin,2025,0.5747125884056842,56.294117647058826,0.25753231784716285,0.29138482078377886,17
Mike Vrabel,2023,0.5294438303962351,55.1764705882353,0.22038659125164317,0.2056199918310645,17
Mike Vrabel,2025,0.4993901940234024,58.588235294117645,0.1730515250995063,0.23347528571728757,17
Nick Sirianni,2023,0.5256158626274946,63.11764705882353,0.17157429275923017,0.18501110113150515,17
Nick Sirianni,2024,0.4190520612165808,62.88235294117647,0.16978596624031092,0.2010010017431948,17
Nick Sirianni,2025,0.5153408132740533,57.35294117647059,0.1531104028891382,0.23092977601852455,17
Pete Carroll,2023,0.6005247423879974,56.294117647058826,0.15873132087503405,0.18024231115662256,17
Pete Carroll,2025,0.5836572428279202,52.0,0.19134273878723063,0.3061726699484155,17
Raheem Morris,2024,0.5288700325510526,62.0,0.1622298932318572,0.1702570428220818,17
Raheem Morris,2025,0.5332589079078608,60.11764705882353,0.22974113367130863,0.24566574738731592,17
Robert Saleh,2023,0.6105943934692323,58.1764705882353,0.25893273925280846,0.21785002086040148,17
Robert Saleh,2024,0.6238210813145729,57.05882352941177,0.1972029423650146,0.18299326536652333,17
Ron Rivera,2023,0.6369359419543388,58.529411764705884,0.18102018020360103,0.1990808458898484,17
Sean McDermott,2023,0.5314528755003999,64.17647058823529,0.15674499098035755,0.2379878093613243,17
Sean McDermott,2024,0.513753683764965,59.470588235294116,0.16571834370161873,0.24056079131482977,17
Sean McDermott,2025,0.4766231839152595,61.294117647058826,0.1826132230703842,0.26070125077158324,17
Sean McVay,2023,0.5527808489256331,62.35294117647059,0.11958468144329233,0.15900291050696685,17
Sean McVay,2024,0.5497363689537149,59.35294117647059,0.09965481847213423,0.15024666827118133,17
