league,policy,p_playoffs,p_title,avg_ppg,example
A,"Hero-RB (RB, then WR/TE x2)",0.8766666666666667,0.145,125.79433726943978,"['Jahmyr Gibbs', 'CeeDee Lamb', 'Drake London', 'Tetairoa McMillan', 'Emeka Egbuka', 'Jadarian Price', ""D'Andre Swift"", 'MarShawn Lloyd', 'Justin Herbert', 'Rico Dowdle', 'Dalton Kincaid', 'Blake Corum', 'Deebo Samuel Sr.', 'Keenan Allen', 'Cleveland Browns']"
A,RB-RB,0.9183333333333333,0.15166666666666667,128.06002248992726,"['Jahmyr Gibbs', 'James Cook III', 'Drake London', 'Ladd McConkey', 'Breece Hall', 'Bucky Irving', 'Jadarian Price', 'MarShawn Lloyd', 'Justin Herbert', 'George Kittle', 'Alec Pierce', 'Chris Godwin Jr.', 'Keenan Allen', 'Rashid Shaheed', 'Los Angeles Chargers']"
A,WR-WR,0.8016666666666666,0.09,121.99121507280833,"[""Ja'Marr Chase"", 'CeeDee Lamb', 'Drake London', 'Garrett Wilson', 'Zay Flowers', 'Emeka Egbuka', 'DJ Moore', 'MarShawn Lloyd', 'Justin Herbert', 'George Kittle', 'Tyler Allgeier', 'Tank Bigsby', 'Sione Vaki', 'Brian Robinson Jr.', 'Los Angeles Chargers']"
A,WR-WR-WR,0.7883333333333333,0.09666666666666666,121.73311777888108,"[""Ja'Marr Chase"", 'Jaxon Smith-Njigba', 'CeeDee Lamb', 'Tetairoa McMillan', 'Ladd McConkey', 'Luther Burden III', 'Jadarian Price', 'MarShawn Lloyd', 'Justin Herbert', 'Kenny Gainwell', 'Dalton Kincaid', 'Rachaad White', 'Tyler Allgeier', 'Woody Marks', 'Los Angeles Chargers']"
A,Robust-RB (RB in 3 of first 4),0.925,0.165,128.40032693366766,"['Bijan Robinson', 'Chase Brown', 'Breece Hall', 'DeVonta Smith', 'Tetairoa McMillan', 'Bucky Irving', 'Jadarian Price', 'MarShawn Lloyd', 'Justin Herbert', 'Travis Kelce', 'Alec Pierce', 'Chris Godwin Jr.', 'Jalen Coker', 'Deebo Samuel Sr.', 'Los Angeles Chargers']"
A,Zero-RB (no RB before R5),0.8516666666666667,0.11,122.63762698967494,"[""Ja'Marr Chase"", 'Drake London', 'Justin Jefferson', 'Nico Collins', 'DeVonta Smith', 'Emeka Egbuka', 'Tee Higgins', 'Justin Herbert', 'Kyle Pitts Sr.', 'Tyler Allgeier', 'Woody Marks', 'Tank Bigsby', 'Sione Vaki', 'Brian Robinson Jr.', 'Cleveland Browns']"
A,Best available by board,0.865,0.13,125.90265638907546,"['Jahmyr Gibbs', ""Ja'Marr Chase"", 'Drake London', 'Garrett Wilson', 'Emeka Egbuka', 'Jadarian Price', 'Jameson Williams', 'Justin Herbert', ""Wan'Dale Robinson"", 'Michael Wilson', 'Dalton Kincaid', 'Woody Marks', 'Tank Bigsby', 'Sione Vaki', 'Cleveland Browns']"
B,"Hero-RB (RB, then WR/TE x2)",0.7083333333333334,0.15,129.4175990768737,"['Jahmyr Gibbs', 'Drake London', 'A.J. Brown', 'Garrett Wilson', 'Emeka Egbuka', 'Jadarian Price', 'Jameson Williams', 'MarShawn Lloyd', 'Justin Herbert', 'Harold Fannin Jr.', 'Josh Downs', 'Jordan Addison', 'Woody Marks', 'Tank Bigsby', 'Los Angeles Chargers']"
B,RB-RB,0.7383333333333333,0.14666666666666667,130.73866007394014,"['Jahmyr Gibbs', 'Chase Brown', 'Drake London', 'DeVonta Smith', 'Zay Flowers', 'DJ Moore', 'Jameson Williams', 'MarShawn Lloyd', 'Justin Herbert', 'Michael Wilson', 'Jake Ferguson', 'Makai Lemon', 'Tank Bigsby', 'Sione Vaki', 'Los Angeles Chargers']"
B,WR-WR,0.59,0.09166666666666666,125.85793343102031,"['Puka Nacua', 'CeeDee Lamb', 'A.J. Brown', 'Chris Olave', 'Emeka Egbuka', 'Tee Higgins', 'Jadarian Price', 'MarShawn Lloyd', 'Justin Herbert', 'Harold Fannin Jr.', 'Kenny Gainwell', 'Chris Godwin Jr.', 'Tyler Allgeier', 'Woody Marks', 'Cleveland Browns']"
B,WR-WR-WR,0.6033333333333334,0.1,124.99690175071761,"[""Ja'Marr Chase"", 'CeeDee Lamb', 'A.J. Brown', 'Emeka Egbuka', 'Ladd McConkey', 'Luther Burden III', 'Jadarian Price', 'MarShawn Lloyd', 'Justin Herbert', 'Harold Fannin Jr.', 'Makai Lemon', 'Rachaad White', 'Woody Marks', 'Tank Bigsby', 'Los Angeles Chargers']"
B,Robust-RB (RB in 3 of first 4),0.7766666666666666,0.18,130.45702927707765,"['Jahmyr Gibbs', 'Chase Brown', 'Kenneth Walker III', 'George Pickens', 'Cam Skattebo', 'Bucky Irving', 'Jadarian Price', 'Justin Herbert', 'Michael Wilson', 'Harold Fannin Jr.', 'Chris Godwin Jr.', 'Keenan Allen', 'Denzel Boston', 'Los Angeles Chargers', 'Jauan Jennings']"
B,Zero-RB (no RB before R5),0.58,0.1,125.65235557277471,"[""Ja'Marr Chase"", 'Amon-Ra St. Brown', 'CeeDee Lamb', 'DeVonta Smith', 'Garrett Wilson', 'Tee Higgins', 'Luther Burden III', 'Justin Herbert', 'Tucker Kraft', 'Tyler Allgeier', 'Woody Marks', 'Tank Bigsby', 'Sione Vaki', 'Brian Robinson Jr.', 'Cleveland Browns']"
B,Best available by board,0.7383333333333333,0.15333333333333332,129.10361767883586,"['Bijan Robinson', 'Drake London', 'Trey McBride', 'Chris Olave', 'Kyren Williams', 'Travis Etienne Jr.', 'Jadarian Price', 'MarShawn Lloyd', 'Justin Herbert', 'Rico Dowdle', 'Jayden Reed', 'Deebo Samuel Sr.', 'Jordyn Tyson', 'Keenan Allen', 'Los Angeles Chargers']"
