label,league,injuries,p_playoffs,p_title,avg_wins,avg_ppg,setting
plan,A,True,0.9371428571428572,0.18285714285714286,8.184285714285714,129.50571530886748,baseline
zero-RB,A,True,0.8942857142857142,0.13428571428571429,7.6414285714285715,126.51565894059217,baseline
robust-RB,A,True,0.9257142857142857,0.15285714285714286,8.251428571428571,129.58079262396475,baseline
sheet,A,True,0.7028571428571428,0.08142857142857143,6.47,119.09046025753844,baseline
plan,A,True,0.9457142857142857,0.19,8.182857142857143,128.7521079903256,blend 0.8 production / 0.2 consensus
zero-RB,A,True,0.9028571428571428,0.14714285714285713,7.687142857142857,125.91475995920827,blend 0.8 production / 0.2 consensus
robust-RB,A,True,0.9,0.1357142857142857,7.981428571428571,126.9792232589558,blend 0.8 production / 0.2 consensus
sheet,A,True,0.6914285714285714,0.07571428571428572,6.39,117.7407746851959,blend 0.8 production / 0.2 consensus
plan,A,True,0.9357142857142857,0.16,8.14,130.4308814074532,blend 0.2 production / 0.8 consensus
zero-RB,A,True,0.8957142857142857,0.11571428571428571,7.585714285714285,127.34694407491254,blend 0.2 production / 0.8 consensus
robust-RB,A,True,0.94,0.17714285714285713,8.48857142857143,132.19149106251942,blend 0.2 production / 0.8 consensus
sheet,A,True,0.7171428571428572,0.08285714285714285,6.605714285714286,120.99840450173308,blend 0.2 production / 0.8 consensus
plan,A,True,0.9228571428571428,0.15142857142857144,8.06857142857143,132.00602141080466,weekly sd x1.3
zero-RB,A,True,0.8957142857142857,0.13714285714285715,7.64,129.36731257157354,weekly sd x1.3
robust-RB,A,True,0.9071428571428571,0.14285714285714285,8.101428571428572,131.92906728151974,weekly sd x1.3
sheet,A,True,0.7314285714285714,0.07285714285714286,6.578571428571428,120.92056831313955,weekly sd x1.3
plan,A,True,0.9357142857142857,0.17142857142857143,8.148571428571428,129.76274569315703,waiver level 11.5 (deeper wire)
zero-RB,A,True,0.8928571428571429,0.13714285714285715,7.598571428571429,126.73553674439748,waiver level 11.5 (deeper wire)
robust-RB,A,True,0.9242857142857143,0.16142857142857142,8.184285714285714,129.80102995442613,waiver level 11.5 (deeper wire)
sheet,A,True,0.7128571428571429,0.07857142857142857,6.502857142857143,119.83381962824147,waiver level 11.5 (deeper wire)
plan,A,True,0.9357142857142857,0.16285714285714287,8.055714285714286,125.49188232648356,injuries x1.5 duration
zero-RB,A,True,0.8857142857142857,0.13428571428571429,7.651428571428571,122.66647503822739,injuries x1.5 duration
robust-RB,A,True,0.9457142857142857,0.1657142857142857,8.3,126.13162858699788,injuries x1.5 duration
sheet,A,True,0.8,0.07714285714285714,6.952857142857143,118.57239933791365,injuries x1.5 duration
plan,A,True,0.9285714285714286,0.18,8.138571428571428,129.4546300990606,opponents draft by ECR (no ESPN skew)
zero-RB,A,True,0.9185714285714286,0.14142857142857143,7.761428571428572,127.16812742599632,opponents draft by ECR (no ESPN skew)
robust-RB,A,True,0.9414285714285714,0.16285714285714287,8.141428571428571,129.0619733976689,opponents draft by ECR (no ESPN skew)
sheet,A,True,0.8328571428571429,0.11428571428571428,7.1242857142857146,123.4123610688999,opponents draft by ECR (no ESPN skew)
