team,win_total,implied_ppg_or_rank,wk1_opp,wk1_spread,wk1_total,source_url,date
ARI,4.5,wk1_implied 17.0 (45.5/2-11.5/2); NFL.com tier: not top-10,@LAC,+11.5,45.5,https://www.foxsports.com/stories/nfl/2026-nfl-win-totals-over-unders-all-32-squads | https://www.covers.com/nfl/week-1-odds-2026,2026-09-02
ATL,7.5 (PFF list shows 6.5; FOX/CBS 7.5),wk1_implied 19.75,@PIT,+3,42.5,https://www.cbssports.com/nfl/news/nfc-south-win-totals-2026-panthers-falcons-saints-buccaneers/ | https://www.foxsports.com/stories/nfl/2026-nfl-odds-week-1-lines-spreads-all-16-games,2026-09-02
BAL,11.5 (opened 10.5; Under -155 at 11.5),wk1_implied 26.5; NFL.com projection: not tier-1,@IND,-3.5,49.5,https://www.foxsports.com/stories/nfl/2026-nfl-win-totals-over-unders-all-32-squads | https://www.foxsports.com/stories/nfl/2026-nfl-odds-week-1-lines-spreads-all-16-games,2026-09-02
BUF,10.5,wk1_implied 23.5; NFL.com tier 1 (with LAR); ProFootballMania off. rating #1 (90.5),@HOU,-1.5,45.5,https://www.cbssports.com/nfl/news/afc-east-win-totals-nfl-2026/ | https://www.nfl.com/news/top-10-nfl-offenses-in-2026-bears-bills-rams-headline-my-projection | https://profootballmania.com/nfl-offense-ratings/,2026-09-02
CAR,6.5,wk1_implied 21.0,vs CHI,+2.5,44.5,https://www.cbssports.com/nfl/news/nfc-south-win-totals-2026-panthers-falcons-saints-buccaneers/ | https://www.covers.com/nfl/week-1-odds-2026,2026-09-02
CHI,9.5,wk1_implied 23.5; NFL.com: Bears headline top-10 projection,@CAR,-2.5,44.5,https://www.cbssports.com/nfl/news/nfc-north-win-totals-2026-bears-lions-packers-vikings-picks/ | https://www.covers.com/nfl/week-1-odds-2026,2026-09-02
CIN,10.5 (CBS; earlier line 9.5 Over -160),wk1_implied 27.0 (highest wk1 total 50.5); NFL.com tier 2,vs TB,-3.5,50.5,https://www.cbssports.com/nfl/news/afc-north-win-totals-2026/ | https://www.covers.com/nfl/week-1-odds-2026,2026-09-02
CLE,6.5,wk1_implied 16.75,@JAX,+7,40.5,https://www.cbssports.com/nfl/news/afc-north-win-totals-2026/ | https://www.foxsports.com/stories/nfl/2026-nfl-odds-week-1-lines-spreads-all-16-games,2026-09-02
DAL,9.5 (CBS NFC East; alt book 8.5 Over -130),wk1_implied 25.5; NFL.com tier 2,@NYG,-2.5,48.5,https://www.cbssports.com/nfl/news/nfc-east-win-totals-predictions-back-the-cowboys-and-fade-the-commanders/ | https://www.foxsports.com/stories/nfl/2026-nfl-odds-week-1-lines-spreads-all-16-games,2026-09-02
DEN,9.5,wk1_implied 20.0,@KC (MNF 9/14),+2.5,42.5,https://www.cbssports.com/nfl/news/afc-west-win-totals-broncos/ | https://www.foxsports.com/stories/nfl/2026-nfl-odds-week-1-lines-spreads-all-16-games,2026-09-02
DET,10.5,wk1_implied ~27.75 if -7 (ML -325; spread NOT in snippet); NFL.com tier 2; ProFootballMania #2 (88.5),vs NO (home/away UNVERIFIED),DET fav (ML -325; spread UNVERIFIED),48.5,https://www.cbssports.com/nfl/news/nfc-north-win-totals-2026-bears-lions-packers-vikings-picks/ | https://www.si.com/betting/nfl-week-1-odds-for-every-game-seahawks-rams-chiefs-favored-in-primetime,2026-09-02
GB,10.5,wk1_implied 23.0,@MIN,-1.5,44.5,https://www.cbssports.com/nfl/news/nfc-north-win-totals-2026-bears-lions-packers-vikings-picks/ | https://www.si.com/betting/nfl-week-1-odds-for-every-game-seahawks-rams-chiefs-favored-in-primetime,2026-09-02
HOU,9.5,wk1_implied 22.0,vs BUF,+1.5,45.5,https://www.cbssports.com/nfl/news/afc-south-win-totals-2026/ | https://www.foxsports.com/stories/nfl/2026-nfl-odds-week-1-lines-spreads-all-16-games,2026-09-02
