team,slot,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15
Matty,1,Christian McCaffrey RB,Isiah Pacheco RB,Drake London WR,Stefon Diggs WR,Brandon Aiyuk WR,Josh Allen QB,Tank Dell WR,George Kittle TE,Khalil Shakir WR,Chuba Hubbard RB,J.K. Dobbins RB,Dallas Goedert TE,T.J. Hockenson TE,Ja'Lynn Polk WR,Cincinnati Bengals DST
Herrane,2,CeeDee Lamb WR,Chris Olave WR,Travis Etienne RB,Michael Pittman WR,George Pickens WR,Raheem Mostert RB,Keenan Allen WR,Jameson Williams WR,Chase Brown RB,Jake Ferguson TE,Tyler Lockett WR,Michael Wilson WR,Justin Herbert QB,San Francisco 49ers DST,Antonio Gibson RB
Jamal (you),3,Tyreek Hill WR,Kyren Williams RB,Sam LaPorta TE,De'Von Achane RB,Deebo Samuel WR,Rashee Rice WR,James Conner RB,Keon Coleman WR,Rome Odunze WR,C.J. Stroud QB,Mike Williams WR,Xavier Legette WR,Cleveland Browns DST,Dak Prescott QB,Chicago Bears DST
David,4,Breece Hall RB,Puka Nacua WR,Josh Jacobs RB,Jaylen Waddle WR,Trey McBride TE,Terry McLaurin WR,Lamar Jackson QB,Jayden Reed WR,Ladd McConkey WR,Zach Charbonnet RB,Blake Corum RB,Jakobi Meyers WR,Josh Palmer WR,Ray Davis RB,Atlanta Falcons DST
Kdouh,5,Bijan Robinson RB,Cooper Kupp WR,Alvin Kamara RB,Mike Evans WR,Diontae Johnson WR,Amari Cooper WR,Jaxon Smith-Njigba WR,Evan Engram TE,Kyler Murray QB,Jerome Ford RB,Jonathon Brooks RB,Adonai Mitchell WR,Curtis Samuel WR,New Orleans Saints DST,Pittsburgh Steelers DST
Kass,6,Amon-Ra St. Brown WR,Derrick Henry RB,Davante Adams WR,D'Andre Swift RB,Aaron Jones RB,Chris Godwin WR,Christian Watson WR,Christian Kirk WR,Austin Ekeler RB,Jordan Addison WR,David Njoku TE,Joe Burrow QB,Tyler Allgeier RB,Khalil Herbert RB,Seattle Seahawks DST
Ach,7,Ja'Marr Chase WR,A.J. Brown WR,Travis Kelce TE,Joe Mixon RB,Malik Nabers WR,Jalen Hurts QB,Zamir White RB,Jaylen Warren RB,Najee Harris RB,DeAndre Hopkins WR,Jerry Jeudy WR,Tony Pollard RB,Romeo Doubs WR,Dallas Cowboys DST,Jayden Daniels QB
Petty,8,Justin Jefferson WR,Jonathan Taylor RB,James Cook RB,DK Metcalf WR,Rachaad White RB,Mark Andrews TE,Calvin Ridley WR,Rhamondre Stevenson RB,Anthony Richardson QB,Zack Moss RB,Brock Bowers TE,Devin Singletary RB,Baltimore Ravens DST,Rashid Shaheed WR,Dallas Goedert TE
Betto,9,Jahmyr Gibbs RB,Garrett Wilson WR,Nico Collins WR,DeVonta Smith WR,Patrick Mahomes QB,Zay Flowers WR,Dalton Kincaid TE,Brian Robinson RB,Xavier Worthy WR,Gus Edwards RB,Darnell Mooney WR,New York Jets DST,Ezekiel Elliott RB,Jordan Love QB,Ravens DST
Ish,10,Saquon Barkley RB,Marvin Harrison WR,Kenneth Walker RB,DJ Moore WR,David Montgomery RB,Tee Higgins WR,Courtland Sutton WR,Kyle Pitts TE,Brian Thomas WR,Nick Chubb RB,Caleb Williams QB,Tyjae Spears RB,Trey Benson RB,Braelon Allen RB,Philadelphia Eagles DST
