missing []
Ish     healthy lineup 114.5
Aoc     healthy lineup 126.4
Billy   healthy lineup 90.0
Jamal   healthy lineup 94.3
Moe     healthy lineup 94.5
Betto   healthy lineup 104.2
Kass    healthy lineup 160.8
Hazime  healthy lineup 169.3
Daoud   healthy lineup 122.8
Kdouh   healthy lineup 95.7

team     title  playoffs  wins   ppg   avg seed
Jamal     23.4%   85.4%   8.3   130.3   3.5
Aoc       13.5%   67.8%   7.3   125.4   4.9
Billy     10.8%   64.6%   7.2   124.2   5.1
Betto      9.8%   67.0%   7.2   123.3   5.2
Moe        9.0%   63.1%   7.1   122.9   5.2
Ish        8.2%   55.1%   6.7   121.1   5.9
Kass       8.1%   59.6%   7.0   122.5   5.5
Daoud      6.2%   46.9%   6.4   119.1   6.4
Kdouh      5.8%   41.1%   6.2   119.0   6.8
Hazime     5.2%   49.4%   6.5   120.1   6.3
