year,team,slot,round,pick,player,pos,manager,key,ecr,dev
2024,Matty,1,1,1,Christian McCaffrey,RB,Ronny,christian mccaffrey,1.88,-0.8799999999999999
2024,Matty,1,2,20,Isiah Pacheco,RB,Ronny,isiah pacheco,33.21,-13.21
2024,Matty,1,3,21,Drake London,WR,Ronny,drake london,19.69,1.3099999999999987
2024,Matty,1,4,40,Stefon Diggs,WR,Ronny,stefon diggs,45.1,-5.100000000000001
2024,Matty,1,5,41,Brandon Aiyuk,WR,Ronny,brandon aiyuk,29.01,11.989999999999998
2024,Matty,1,6,60,Josh Allen,QB,Ronny,josh allen,22.08,37.92
2024,Matty,1,7,61,Tank Dell,WR,Ronny,tank dell,57.09,3.9099999999999966
2024,Matty,1,8,80,George Kittle,TE,Ronny,george kittle,86.47,-6.469999999999999
2024,Matty,1,9,81,Khalil Shakir,WR,Ronny,khalil shakir,138.33,-57.33000000000001
2024,Matty,1,10,100,Chuba Hubbard,RB,Ronny,chuba hubbard,138.91,-38.91
2024,Matty,1,11,101,J.K. Dobbins,RB,Ronny,jk dobbins,156.18,-55.18000000000001
2024,Matty,1,12,120,Dallas Goedert,TE,Ronny,dallas goedert,104.41,15.590000000000003
2024,Matty,1,13,121,T.J. Hockenson,TE,Ronny,tj hockenson,129.43,-8.430000000000007
2024,Matty,1,14,140,Ja'Lynn Polk,WR,Ronny,jalynn polk,172.62,-32.620000000000005
2024,Matty,1,15,141,Cincinnati Bengals,DST,Ronny,cincinnati bengals,253.53,-112.53
2024,Herrane,2,1,2,CeeDee Lamb,WR,Hazime,ceedee lamb,2.78,-0.7799999999999998
2024,Herrane,2,2,19,Chris Olave,WR,Hazime,chris olave,20.95,-1.9499999999999993
2024,Herrane,2,3,22,Travis Etienne,RB,Hazime,travis etienne,25.54,-3.539999999999999
2024,Herrane,2,4,39,Michael Pittman,WR,Hazime,michael pittman,26.89,12.11
2024,Herrane,2,5,42,George Pickens,WR,Hazime,george pickens,54.8,-12.799999999999997
2024,Herrane,2,6,59,Raheem Mostert,RB,Hazime,raheem mostert,83.11,-24.11
2024,Herrane,2,7,62,Keenan Allen,WR,Hazime,keenan allen,64.47,-2.469999999999999
2024,Herrane,2,8,79,Jameson Williams,WR,Hazime,jameson williams,122.86,-43.86
2024,Herrane,2,9,82,Chase Brown,RB,Hazime,chase brown,109.75,-27.75
2024,Herrane,2,10,99,Jake Ferguson,TE,Hazime,jake ferguson,94.96,4.040000000000006
2024,Herrane,2,11,102,Tyler Lockett,WR,Hazime,tyler lockett,112.54,-10.540000000000006
2024,Herrane,2,12,119,Michael Wilson,WR,Hazime,michael wilson,176.79,-57.78999999999999
2024,Herrane,2,13,122,Justin Herbert,QB,Hazime,justin herbert,108.36,13.64
2024,Herrane,2,14,139,San Francisco 49ers,DST,Hazime,san francisco 49ers,164.2,-25.19999999999999
2024,Herrane,2,15,142,Antonio Gibson,RB,Hazime,antonio gibson,144.68,-2.680000000000007
2024,Jamal (you),3,1,3,Tyreek Hill,WR,Jamal (you),tyreek hill,2.92,0.08000000000000007
2024,Jamal (you),3,2,18,Kyren Williams,RB,Jamal (you),kyren williams,30.69,-12.690000000000001
2024,Jamal (you),3,3,23,Sam LaPorta,TE,Jamal (you),sam laporta,29.19,-6.190000000000001
2024,Jamal (you),3,4,38,De'Von Achane,RB,Jamal (you),devon achane,34.79,3.210000000000001
2024,Jamal (you),3,5,43,Deebo Samuel,WR,Jamal (you),deebo samuel,33.41,9.590000000000003
2024,Jamal (you),3,6,58,Rashee Rice,WR,Jamal (you),rashee rice,57.7,0.29999999999999716
2024,Jamal (you),3,7,63,James Conner,RB,Jamal (you),james conner,65.21,-2.2099999999999937
2024,Jamal (you),3,8,78,Keon Coleman,WR,Jamal (you),keon coleman,123.8,-45.8
2024,Jamal (you),3,9,83,Rome Odunze,WR,Jamal (you),rome odunze,99.21,-16.209999999999994
