manager,player,pos,nfl,age,draft_pick,draft_round,pre_ecr,ros_ovr,ros_pos,ros_delta,wk3_rank,pts_w1,pts_w2,ep_w1,ep_w2,snap_w1,snap_w2,tgt_car_w1,tgt_car_w2,inj,inj_type,practice,name_value,draft_value,current_value,ppg,ep2,perceived,flags
Aoc,Jahmyr Gibbs,RB,DET,24.0,2.0,1.0,2.48,1.0,1.0,,1.42,33.6,23.3,32.6,21.8,0.74,0.83,"(5, 29)","(8, 16)",,,,94.6,95.7,97.8,28.450000000000003,27.200000000000003,96.1,
Aoc,Zay Flowers,WR,BAL,26.0,42.0,5.0,30.3,24.5,11.67,,28.55,26.0,,11.9,,0.29,,"(6, 0)",,,,,51.0,39.3,58.0,26.0,11.9,57.4,OUTPUT>USAGE
Aoc,A.J. Brown,WR,NE,29.0,19.0,2.0,14.25,39.17,19.33,-13.0,,5.6,,5.7,,0.44,,"(4, 0)",,,,,72.9,65.6,41.9,5.6,5.7,51.3,BUY-LOW FALLING
Aoc,Garrett Wilson,WR,NYJ,26.0,39.0,4.0,29.62,33.67,16.17,,11.23,13.9,16.7,12.5,,0.75,0.88,"(7, 0)","(7, 0)",,,,51.8,42.0,47.3,15.3,12.5,48.4,
Aoc,Brock Bowers,TE,LV,24.0,22.0,3.0,19.03,35.67,2.0,-1.0,34.6,,,,,,,,,,,,65.5,61.3,45.3,,,47.0,
Aoc,Joe Burrow,QB,CIN,30.0,62.0,7.0,45.81,59.83,6.0,,10.37,16.2,20.2,21.2,,1.0,1.0,"(0, 5)","(0, 1)",,,,36.1,25.2,26.5,18.2,21.2,34.3,
Aoc,Marvin Harrison Jr.,WR,ARI,24.0,59.0,6.0,68.6,74.0,37.67,,42.35,4.3,0.0,4.8,,0.79,0.74,"(3, 0)","(1, 0)",,,,21.8,27.0,19.3,2.15,4.8,19.4,
Aoc,Deebo Samuel Sr.,WR,SF,30.0,122.0,13.0,138.51,89.33,46.0,,36.18,18.0,6.5,16.8,,0.42,0.6,"(7, 1)","(4, 1)",,,,4.6,6.6,13.7,12.25,16.8,14.0,USAGE>OUTPUT AGE NAME<CURRENT
Aoc,Rico Dowdle,RB,PIT,28.0,84.0,9.0,88.82,100.17,28.2,6.0,33.64,4.1,6.4,11.0,,0.58,0.26,"(5, 8)","(2, 7)",,,,13.9,15.5,10.8,5.25,11.0,13.4,USAGE>OUTPUT AGE RISING
Aoc,Kyle Monangai,RB,CHI,24.0,102.0,11.0,116.95,149.33,37.6,,33.45,20.4,7.8,9.0,,0.43,0.34,"(2, 10)","(2, 10)",,,,7.4,10.4,3.6,14.1,9.0,12.3,SELL-HIGH OUTPUT>USAGE NAME>CURRENT
Aoc,RJ Harvey,RB,DEN,25.0,99.0,10.0,97.46,133.83,34.2,5.0,34.24,8.1,,7.0,,0.51,,"(4, 3)",,,,,11.5,11.1,5.1,8.1,7.0,11.2,RISING NAME>CURRENT
